Наименование объекта центра питания;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ Герчики;1972;2.5;54.516908606816;31.9454488047405
ПС 35/10 кВ Верховье;1982;4;54.9201880714115;31.7500398465815
ПС 35/10 кВ Нейково;1978;2.5;54.5504148053162;31.2375545161203
ПС 110/35/10 кВ Мерлино;1987;6.3;54.6486721027913;31.635331891977
ПС 35/10 кВ Беляево;1979;1.6;55.5039069764827;31.1059444490907
ПС 35/10 кВ Заозерье;1987;1.6;55.6613203710581;31.5828781871036
ПС 35/10 кВ Селезни;1976;2.5;55.6417662457385;31.4562387426515
ПС 110/10 кВ Логово;1969;6.3;55.7037929134676;31.3474680716009
ПС 35/10 кВ Дубровка;1986;2.5;55.1927717101463;31.3485039859785
ПС 35/10 кВ Свистовичи;1972;2.5;55.3066388710183;31.8759955757636
ПС 35/10 кВ Ельша;1981;1.6;55.6922231748928;31.8835199359338
ПС 35/10 кВ Сапшо;1980;4;55.5214036158138;31.8379898788652
ПС 110/10 кВ Диво;1988;2.5;55.1753869317464;31.8249946153444
ПС 35/10 кВ Вачково;1982;2.5;54.8409133113396;32.5540818723384
ПС 35/10 кВ Замошье;1987;2.5;54.864829729287;31.5159820061034
ПС 35/10 кВ Лоино;1980;2.5;55.0336216213798;31.4969731936685
ПС 35/10 кВ Рокот;1977;2.5;54.9557636521962;31.2673423322423
ПС 35/10 кВ Никонцы;1976;2.5;55.3830062608461;31.2602268900156
ПС 35/10 кВ Батищево;1982;2.5;55.2408927517512;33.4866499573753
ПС 35/10 кВ Васино;1976;2.5;54.9628544047692;33.6158377447502
ПС 35/10 кВ Булгаково;1976;2.5;55.2462204267674;32.1378097027114
ПС 35/10 кВ Спас-Углы;1974;1.6;55.3167372853128;32.4785786152864
ПС 35/10 кВ Третьяково;1982;4;55.1580739340568;32.4642105828683
ПС 35/10 кВ Велисто;1983;2.5;55.667916820974;32.2088599492977
ПС 35/10 кВ Батурино;1977;1.6;55.5509606954244;32.7852844071647
ПС 35/10 кВ Печатники;1974;2.5;55.6421176158972;33.387062584939
ПС 35/10 кВ Гаристово;1983;1.6;54.7090559850649;33.2451389875046
ПС 35/10 кВ Беззаботы;1978;2.5;54.5614646528362;32.9543509958994
ПС 35/10 кВ Зубово;1975;2.5;54.4049712755458;33.4430517069414
ПС 35/10 кВ Зайцево;1978;1.6;55.1923825285336;32.6904298918055
ПС 35/10 кВ Савеево;1982;2.5;54.2181586290787;33.3408410614158
ПС 35/10 кВ Гореново;1969;1.6;53.8606872649299;32.8055696801537
ПС 35/10 кВ Шпунты;1976;2.5;54.3609346133221;32.7237501621663
ПС 35/10 кВ Кадино;1977;2.5;54.293268724999;31.4533431884131
ПС 35/10 кВ Стегримово;1979;2.5;54.4699110956571;31.9022014350826
ПС 35/10 кВ Жуково;1977;2.5;54.208599832176;31.838037082644
ПС 35/10 кВ Микшино;1988;2.5;54.0505317123947;32.183462905027
ПС 35/10 кВ Петровичи;1976;2.5;53.965555317233;32.1514777446617
ПС 35/10 кВ Микуличи;1964;1.8;53.8185544302121;32.263287900675
ПС 35/10 кВ Надейковичи;1987;2.5;55.5296519584465;33.7401238832048
ПС 110/35/10 кВ Поселки;1980;6.3;53.7359995148704;32.5648496351963
ПС 35/10 кВ Кузьмичи;1980;2.5;53.5484196392012;32.5849930271362
ПС 110/10 кВ Макшеево;1979;6.3;54.5589494564836;32.216487425461
