Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Колпинская;566;220/110/35/6
ПС 220 кВ Парголово;50;220/35/10
ПС 220 кВ Полупроводники;160;220/10
ПС 220 кВ Приморская;227;220/10
ПС 220 кВ Проспект Испытателей;160;220/10
ПС 220 кВ Славянка;126;220/10
ПС 220 кВ Чесменская;580;220/110/35/10/6
ПС 330 кВ Василеостровская;400;330/110/35
ПС 330 кВ Волхов-Северная;686;330/110/35/6
ПС 330 кВ Завод Ильич;1264;330/220/110/35/6
ПС 330 кВ Западная;760;330/110/10
ПС 330 кВ Колпино К6;650;330/110/10
ПС 330 кВ Парнас;420;330/110/10
ПС 330 кВ Ржевская;480;330/110/10
ПС 330 кВ Северная;960;330/110/10
ПС 330 кВ Центральная;400;330/110/35
ПС 330 кВ Южная;2451;330/220/110/10
