№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
1;ПС 110 кВ Александрия;12.6;110/10
2;ПС 110 кВ Александровская;32;110/35/10
3;ПС 110 кВ Арзгир;20;110/35/10
4;ПС 110 кВ Арматурная;40;110/6
5;ПС 110 кВ Ачикулак;16.3;110/35/10
6;ПС 110 кВ Аэропорт;12.6;110/6
7;ПС 110 кВ Баклановская;50;110/35/10
8;ПС 110 кВ Безопасная;26;110/35/10
9;ПС 110 кВ Бекешевская;20;110/35/10
10;ПС 110 кВ Белая Ромашка;25;110/10
11;ПС 110 кВ Белый Уголь;20;110/10
12;ПС 110 кВ Бештау;32;110/10
13;ПС 110 кВ Благодарная-110;50;110/35/10
14;ПС 110 кВ Большевик;5;110/10
15;ПС 110 кВ Боргустан;5;110/10
16;ПС 110 кВ ВНИИОК;10;110/35/10
17;ПС 110 кВ Водораздел;21.3;110/10
18;ПС 110 кВ Восток;10;110/35/10
19;ПС 110 кВ Восточная;80;110/10/6
20;ПС 110 кВ Восход;20;110/35/10 
21;ПС 110 кВ Георгиевская;91.5;110/35/6
22;ПС 110 кВ ГНС (ПЭС);10;110/6
23;ПС 110 кВ ГНС (ЦЭС);32;110/35/6
24;ПС 110 кВ Головная насосная;6.3;110/35/6
25;ПС 110 кВ Голубая;6.3;110/6
26;ПС 110 кВ Городская;31.3;110/10
27;ПС 110 кВ Горячеводская;50;110/35/10
28;ПС 110 кВ Гофицкая;20;110/35/10
29;ПС 110 кВ Грачевская;26;110/35/10
30;ПС 110 кВ Григорополисская;10;110/35/10
31;ПС 110 кВ Дербетовская;16.3;110/35/10
32;ПС 110 кВ Дивное;32;110/35/10
33;ПС 110 кВ ДКС-2;50;110/35/10
34;ПС 110 кВ Дмитриевская;16.3;110/35/10
35;ПС 110 кВ Донская;32;110/35/10
36;ПС 110 кВ Дружба;5;110/10
37;ПС 110 кВ Дундинская;16.3;110/35/6
38;ПС 110 кВ Ессентуки-2;80;110/35/10
39;ПС 110 кВ Железноводская;32;110/35/10
40;ПС 110 кВ Журавская;12.6;110/10
41;ПС 110 кВ Заветная;16.3;110/35/10
42;ПС 110 кВ Заводская;26;110/10
43;ПС 110 кВ Западная;80;110/10/6
44;ПС 110 кВ Запикетная;32;110/10
45;ПС 110 кВ Затеречная;30;110/35/6
46;ПС 110 кВ Зеленогорская;80;110/35/10
47;ПС 110 кВ Зеленокумская;50;110/35/10
48;ПС 110 кВ Изобильная;50;110/35/10
49;ПС 110 кВ Ипатово;50;110/35/10 
50;ПС 110 кВ Камбулат;8.8;110/10
51;ПС 110 кВ Карьер;32;110/35/6
52;ПС 110 кВ Каясула;11.9;110/35/10
53;ПС 110 кВ Кевсала;26;110/35/10
54;ПС 110 кВ Кинжал;12.6;110/10
55;ПС 110 кВ Кировская;12.6;110/10
56;ПС 110 кВ Колодезная;6.3;110/35/10/6
57;ПС 110 кВ Константиновская;12.6;110/10
58;ПС 110 кВ КПФ;50;110/6
59;ПС 110 кВ Красный Октябрь;6.3;110/10
60;ПС 110 кВ Красная Заря;5;110/10
61;ПС 110 кВ Красногвардейская;20;110/35/10
62;ПС 110 кВ Круглолесская;5;110/10
63;ПС 110 кВ Левокумская;16.3;110/35/10
64;ПС 110 кВ Ленинская;20;110/35/10
65;ПС 110 кВ Лермонтовская;32;110/10
66;ПС 110 кВ Лесная;65;110/6
67;ПС 110 кВ Летняя Ставка;12.6;110/35/10
68;ПС 110 кВ Лысогорская;8.8;110/10
69;ПС 110 кВ Мин-Воды-2;65;110/35/6
70;ПС 110 кВ Междуреченская;26;110/35/6
71;ПС 110 кВ Московская;20;110/35/10
72;ПС 110 кВ Новая Деревня;16;110/35/10
73;ПС 110 кВ Ново-Невинномысская;32;110/10
74;ПС 110 кВ НПС-4;80;110/10
75;ПС 110 кВ НПС-5;80;110/10
76;ПС 110 кВ Нефтекумск;50;110/10/6
77;ПС 110 кВ Николина Балка;12.6;110/35/10
78;ПС 110 кВ Нины;12.6;110/10
79;ПС 110 кВ Новоалександровская;32;110/35/10
80;ПС 110 кВ Ново-Бештаугорец;16.3;110/10
81;ПС 110 кВ Новопавловская-2;26;110/35/10
82;ПС 110 кВ Новоселицкая;32;110/35/10
83;ПС 110 кВ Новоульяновская;16.3;110/35/10
84;ПС 110 кВ НС-1;10;110/10/6
85;ПС 110 кВ НС-14;10;110/35/10
86;ПС 110 кВ Обильное;16.3;110/35/10
87;ПС 110 кВ Овощи;6.3;110/10
88;ПС 110 кВ Отказное;2.5;110/10
89;ПС 110 кВ Парковая;32;110/10
90;ПС 110 кВ Петропавловская;12.6;110/35/10
91;ПС 110 кВ Плаксейка;26;110/35/10
92;ПС 110 кВ Подкумок;20;110/10
93;ПС 110 кВ Покойная;26;110/10
94;ПС 110 кВ Полимер;26;110/10
95;ПС 110 кВ Преградная;8.8;110/10
96;ПС 110 кВ Прибрежная;36;110/6
97;ПС 110 кВ Пригородная;16.3;110/10
98;ПС 110 кВ Прикубанская;50;110/35/10
99;ПС 110 кВ Приозерная;6.3;110/10
100;ПС 110 кВ Провал;32;110/10
101;ПС 110 кВ Прогресс;12.6;110/35/6
102;ПС 110 кВ Промкомплекс;80;110/35/10
103;ПС 110 кВ Промышленная;50;110/6
104;ПС 110 кВ Птицепром;20;110/10
105;ПС 110 кВ ПТФ;12.6;110/10
106;ПС 110 кВ Рагули;26;110/35/10
107;ПС 110 кВ Радиозавод;50;110/10
108;ПС 110 кВ Раздольная;2.5;110/10
109;ПС 110 кВ Ростовановская;20;110/35/10
110;ПС 110 кВ Рыздвяная;6.3;110/35/10
111;ПС 110 кВ Садовая;6.3;110/10
112;ПС 110 кВ Светлая;16.3;110/35/10
113;ПС 110 кВ Светлоград;50;110/35/10
114;ПС 110 кВ Северная;126;110/10/6
115;ПС 110 кВ Семеновод;6.3;110/6
116;ПС 110 кВ Скачки-2;32;110/6
117;ПС 110 кВ Солдато-Александровская;26;110/35/10
118;ПС 110 кВ Солнечная;16.3;110/10
119;ПС 110 кВ Соломенская;26;110/35/10
120;ПС 110 кВ Солуно-Дмитриевская;12.6;110/10
121;ПС 110 кВ Ставропольская;10;110/10
122;ПС 110 кВ Суворовская;24;110/35/10
123;ПС 110 кВ Тахта;16.3;110/35/10
124;ПС 110 кВ Темнолесская;8.8;110/10
125;ПС 110 кВ Терская;16;110/35/10
126;ПС 110 кВ Троицкая;20;110/35/10
127;ПС 110 кВ Урожайная;5;110/10
128;ПС 110 кВ Усилие;6.3;110/10
129;ПС 110 кВ Центральная;80;110/10
130;ПС 110 кВ Чограйская;6.3;110/10
131;ПС 110 кВ Штурм;20;110/10
132;ПС 110 кВ Щебзавод;20;110/6
133;ПС 110 кВ Электропривод;12.6;110/10
134;ПС 110 кВ Южная;75;110/10
135;ПС 110 кВ ЯП-17/9;6.3;110/10
136;ПС 110 кВ Ясная Поляна-2;20;110/10
137;ПС 110 кВ III-й Подъем;32;110/35/6
138;ПС 35 кВ Айгурская ;2.5;35/10
139;ПС 35 кВ Андрей-Курган;2.5;35/10
140;ПС 35 кВ Апанасенковская ;2.5;35/10
141;ПС 35 кВ Архангальская;5;35/10
142;ПС 35 кВ Аэропорт;12.6;35/10
143;ПС 35 кВ Большая Джалга ;4.1;35/10
144;ПС 35 кВ Базовая;4;35/10
145;ПС 35 кВ Балахоновская;8;35/10
146;ПС 35 кВ Балковская-2;5;35/10
147;ПС 35 кВ Балтрабочий;5;35/10
148;ПС 35 кВ Беломечетская;5;35/10
149;ПС 35 кВ Берёзкин;2.5;35/10
150;ПС 35 кВ Бештаугорец;8;35/10
151;ПС 35 кВ Благодатное;5; 35/10
152;ПС 35 кВ Богдановская;8.8;35/10
153;ПС 35 кВ Борец;4;35/10
154;ПС 35 кВ Бурлацкая ;6.5;35/10
155;ПС 35 кВ Бурукшун;2.5;35/10
156;ПС 35 кВ Бурунная;5.6;35/10
157;ПС 35 кВ Бутылочная;10.6;35/6
158;ПС 35 кВ БХЗ;20;35/6
159;ПС 35 кВ Варениковская;6.5;35/10
160;ПС 35 кВ Величаевская;2.5;35/10
161;ПС 35 кВ Владимировская;4;35/10
162;ПС 35 кВ Воздвиженская ;6.5;35/10
163;ПС 35 кВ Вознесеновская ;5;35/10
164;ПС 35 кВ Войтика;5;35/10
165;ПС 35 кВ Воровсколесская;5;35/10
166;ПС 35 кВ Воронежская;8;35/10
167;ПС 35 кВ Вревская;5;35/10
168;ПС 35 кВ Высоцкая;6.5;35/10
169;ПС 35 кВ Галюгаевская;4;35/10
170;ПС 35 кВ Георгиевская;6.5;35/10
171;ПС 35 кВ Горькая Балка-I;8;35/10
172;ПС 35 кВ Горькая Балка-II;1;35/0,4
173;ПС 35 кВ Горьковская;5;35/10
174;ПС 35 кВ Гражданская;8;35/10
175;ПС 35 кВ Графская;5;35/10/6
176;ПС 35 кВ Грушевская;6.5;35/10/6
177;ПС 35 кВ ДКС-1;12.6;35/10
178;ПС 35 кВ Добровольная;8;35/10
179;ПС 35 кВ Донская Балка;4.1;35/10
180;ПС 35 кВ Дыдымкин;2.5;35/6
181;ПС 35 кВ Елизаветинская;6.5;35/10
182;ПС 35 кВ ЖБИ;6.3;35/10
183;ПС 35 кВ Заводская;8;35/10
184;ПС 35 кВ Заря;5;35/10/6
185;ПС 35 кВ Золотаревская;4;35/10
186;ПС 35 кВ Зональная;8;35/10
187;ПС 35 кВ Инициативная;2.5;35/6
188;ПС 35 кВ Иноземцево;20;35/10
189;ПС 35 кВ ИПС;5;35/10
190;ПС 35 кВ Иргаклы;5;35/10
191;ПС 35 кВ Казгулак;2.5;35/10
192;ПС 35 кВ Казинка;5.6;35/10
193;ПС 35 кВ Казинская;5;35/10
194;ПС 35 кВ Казьминская;8;35/10
195;ПС 35 кВ Калиновская;8.1;35/10/6
196;ПС 35 кВ Каменная Балка ;2.5;35/10
197;ПС 35 кВ Кановская-1;5;35/10
198;ПС 35 кВ Кара-Мурза;1.8;35/10
199;ПС 35 кВ Кара-Тюбе;5;35/10
200;ПС 35 кВ Кендже Кулак;6.3;35/10
201;ПС 35 кВ Киевская ;5;35/10
202;ПС 35 кВ Кировская;2.5;35/10
203;ПС 35 кВ Ковгановская;5;35/10
204;ПС 35 кВ Комбикормовый;6.5;35/10
205;ПС 35 кВ Коммаяк;5;35/10
206;ПС 35 кВ Коммунар;5;35/10
207;ПС 35 кВ Комсомолец;8;35/10
208;ПС 35 кВ Кочубеевская;18.3;35/10
209;ПС 35 кВ КПД;12.6;35/10
210;ПС 35 кВ КПП;10.3;35/10
211;ПС 35 кВ Красный Маныч;2.5;35/10
212;ПС 35 кВ Красочная;4;35/10
213;ПС 35 кВ Крутоярская;2.5;35/10
214;ПС 35 кВ Крым-Гиреевская;6.5;35/10
215;ПС 35 кВ Кубань;6.5;35/10
216;ПС 35 кВ Кугультинская;8;35/10
217;ПС 35 кВ Кура;9.6;35/10
218;ПС 35 кВ Курская-1;6.3;35/10
219;ПС 35 кВ Курская-2;8.8;35/10
220;ПС 35 кВ Кучерла;4;35/6
221;ПС 35 кВ Ладбалковская;5;35/10
222;ПС 35 кВ Левопадинская;2.5;35/10
223;ПС 35 кВ Ленинская;4;35/10
224;ПС 35 кВ Лента;6.3;35/10
225;ПС 35 кВ Лиман;5;35/10
226;ПС 35 кВ Малая Джалга ;5;35/10
227;ПС 35 кВ Маныческая ;8;35/10
228;ПС 35 кВ Марьинская;8;35/10
229;ПС 35 кВ Марьины Колодцы;8.8;35/10
230;ПС 35 кВ Махмуд-Мектеб;4.1;35/10
231;ПС 35 кВ Медвеженская;3.2;35/10
232;ПС 35 кВ Мелиоратор;1.6;35/10
233;ПС 35 кВ Нагутская;8;35/10
234;ПС 35 кВ Надзорная;5;35/10
235;ПС 35 кВ Николо-Александровская;2.5;35/10
236;ПС 35 кВ Новкус-Артезиан;5;35/10
237;ПС 35 кВ НС-1Б;16.3;35/6
238;ПС 35 кВ Насосная-10;1.6;35/6
239;ПС 35 кВ НС-10А;2;35/0,4
240;ПС 35 кВ Насосная-12;2.5;35/6
241;ПС 35 кВ Насосная-13;2.5;35/6
242;ПС 35 кВ Насосная-14;1.6;35/0,4
243;ПС 35 кВ НС-15А;4;35/6
244;ПС 35 кВ Насосная-16;3.2;35/6
245;ПС 35 кВ НС-17Т;3.5;35/6/0,4
246;ПС 35 кВ Насосная-18;4;35/6
247;ПС 35 кВ Насосная-2;2.5;35/6
248;ПС 35 кВ НС-22И;3.2;35/6
249;ПС 35 кВ НС-2Б;1.6;35/6
250;ПС 35 кВ НС-3А;2.5;35/6
251;ПС 35 кВ Насосная-5;6.5;35/6
252;ПС 35 кВ Насосная-8;5;35/6
253;ПС 35 кВ Насосная-9;5;35/6
254;ПС 35 кВ Насосная-1;6.5;35/10/6
255;ПС 35 кВ НК Водовод;1;35/6
256;ПС 35 кВ Незлобная;8;35/10
257;ПС 35 кВ Нива;8;35/10
258;ПС 35 кВ Новозаведенное;4;35/10
259;ПС 35 кВ Новокавказская;9;35/10
260;ПС 35 кВ Новокрестьяновская;1.6;35/10
261;ПС 35 кВ Новомихайловская;5;35/10
262;ПС 35 кВ Новопавловская-1;8;35/10
263;ПС 35 кВ Новотроицкая ГЭС;4;35/10
264;ПС 35 кВ Ново-Янкульская;5;35/10
265;ПС 35 кВ Ново Романовская;4;35/10
266;ПС 35 кВ НС 50 лет Октября;1;35/6
267;ПС 35 кВ НС к-за Россия;4.1;35/10/6
268;ПС 35 кВ НС Конзавод-170;3.2;35/10/6
269;ПС 35 кВ НС-23;4;35/6
271;ПС 35 кВ НС-7 с-за Ленинский;0.63;35/0.4
272;ПС 35 кВ Овощевод;8;35/6
273;ПС 35 кВ Ольгино;2.5;35/10
274;ПС 35 кВ Орбельяновская;4;35/10
275;ПС 35 кВ Орловская (ВЭС);5;35/10/6
276;ПС 35 кВ Орловская (ПЭС);8;35/10
277;ПС 35 кВ Орошение;2.5;35/6
278;ПС 35 кВ Откормочник;1.6;35/10
