Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Белка;125;220/110/10
ПС 220 кВ Вязовская;400;220/110/10
ПС 220 кВ Калининская;500;220/110/10
ПС 220 кВ Каменская;502,5;220/110/10
ПС 220 кВ Качканар;390;220/110/10
ПС 220 кВ Кошай;305;220/110/11
ПС 220 кВ Краснотурьинск;490;220/110/35/10
ПС 220 кВ Красноуфимская;313;220/110/35/10
ПС 220 кВ Малахит;200;220/110/10
ПС 220 кВ Ница;250;220/110/10
ПС 220 кВ Окунево;712;220/110/35/10
ПС 220 кВ Острая;40;220/10/10
ПС 220 кВ Первоуральская;740;220/110/10
ПС 220 кВ Платина;72;220/10/10
ПС 220 кВ Салда;480;220/110/10
ПС 220 кВ Сварочная;250;220/110/10
ПС 220 кВ Сирень;400;220/110/10
ПС 220 кВ Сопка;80;220/10/10
ПС 220 кВ Тавда;188;220/110/10
ПС 220 кВ Травянская;400;220/110/10
ПС 220 кВ Электролизная;660;220/110/10
ПС 220 кВ Ягодная;10;220/10
ПС 500 кВ БАЗ;1402;500/220/110/10
ПС 500 кВ Емелино;1002;220/110/10
ПС 500 кВ Курган;1002;500/220/10
ПС 500 кВ Тагил;1742;500/220/110/10
ПС 500 кВ Южная;2003;500/220/110/35/10
