№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
1;Азанка;110000/10000;8,8
2;Алапаевск;110000/35000/6000;120
3;Артемовская;35000/10000;11,9
4;Бердюгино;110000/10000;26
5;Бубчиково;110000/10000;12,6
6;Буланаш;110000/35000/6000;31
7;Бурлаки;110000/10000;20
8;Буровая;110000/10000;20
9;Бурсунка;110000/6000;15,6
10;Ваганово;110000/10000;12,6
11;Гаево;110000/10000;20
12;Глинка;35000/10000;12,6
13;Голубково;110000/10000;6,3
14;Горки;110000/35000/10000;10,3
15;Деевская;110000/10000;16,3
16;Дубская;110000/10000;2,5
17;Дымково;35000/10000;8
18;ЕГРЭС;110000/35000/6000-10000;40
19;Еремино;110000/10000;5
20;Зайково;110000/10000;12,6
21;ИМЗ;110000/6000;50
22;Ирбит;110000/35000/6000;60
23;Ирбит Городская;35000/10000;11,9
24;Карабашка;110000/10000;5
25;Карьер;110000/10000;2,5
26;Килачево;110000/10000;22,3
27;Кириллово;110000/10000;8,1
28;Кировская;35000/10000;5,7
29;Коптелово;110000/10000;16,3
30;Коркино;110000/10000;12,6
31;Костино;110000/10000;6,3
32;Красногвардейская;110000/35000/6000-10000;29,6
33;Красные Орлы;110000/10000;5
34;Кузнецово;110000/10000;12,6
35;Лебедкино;110000/10000;5
36;Ленская;110000/10000;6,3
37;Лесная;110000/6000;20
38;Лопатково;110000/10000;2,5
39;Махнево;110000/35000/6000-10000;32
40;Мечта;110000/10000;12,5
41;Мироновская;110000/10000;12,6
42;Молзавод;110000/10000;20
43;Мостовая (АртЭС);110000/10000;6,3
44;Мугай;110000/10000;2,5
45;Нейва-110;110000/35000/10000;6,3
46;Нейва-35;35000/10000;5,6
47;Новгородово;110000/10000;12,6
48;Новоселово;110000/10000;2,5
49;Оверино;110000/10000;5
50;Осинцево;110000/10000;6,3
51;Останино;110000/10000;8,8
52;Паршинская;110000/10000;6,3
53;Пионерская;110000/35000/6000;51,5
54;Писанец;110000/10000;12,6
55;Реж;110000/10000;50
56;Сосновая;110000/10000;2,5
57;Сосновый Бор;110000/10000;16
58;Спичка;110000/10000;12,6
59;Сплавная;110000/10000;20
60;Стройиндустрия;110000/10000;20
61;Теплая;110000/6000;32
62;Толмачево;35000/10000;8
63;Туринск;110000/35000/10000;20
64;ТФК;35000/6000;11,2
65;Тычкино;110000/10000;2,5
66;Увал;110000/10000;6,3
67;Усениново;110000/10000;12,5
68;Фоминская;35000/10000;1,6
69;Харлово;110000/10000;5
70;Чапаевская;110000/10000;2,5
71;Черемисска;110000/35000/10000;32
72;Черново;110000/10000;12,6
73;Шогринская;110000/10000;12,6
74;Аксариха;110000/10000;2,5
75;Алтынай;35000/10000;1,8
76;Аметистовая;110000/10000;6,3
77;Анна;220000/10000;80
78;Асбест (ВЭС);110000/35000/6000;50
79;Багаряк;35000/10000;1,8
80;Бараба;110000/10000;2,5
81;Баранниково;35000/10000;10,3
82;Белая;110000/6000;18,2
83;Белоречка;110000/35000/10000;50
84;Бирюза;110000/10000;72
85;Валовая;110000/10000;20
86;Галкино;35000/10000;1,6
87;Грязновская;110000/10000;12,6
88;Еланская;110000/10000;26
89;ЖБК;110000/10000;6,3
90;Захаровская;110000/10000;6,3
91;Знаменская;110000/10000;12,6
92;КАЗ;110000/6000;20
93;Камышлов;110000/35000/10000;60
94;Квашнино;110000/10000;6,3
95;Кислово;110000/10000;6,3
96;Клевакино;110000/10000;12,6
97;Кожевино;110000/10000;12,6
98;Кочнево;110000/10000;2,5
99;Ленинская;110000/10000;72
100;Логиново;110000/10000;20
101;Лосинка;35000/6000;7,5
102;Мамино;110000/10000;8,8
103;Мартюш;110000/10000;20
104;Озерная;35000/10000;1,8
105;Островная;35000/6000;1
106;Перовая;110000/10000;42
107;Позариха;35000/10000;6,5
108;Полдневская;35000/10000;5,6
109;Походилово;110000/10000;12,6
110;Пролетарская;110000/10000;12,6
111;Пульниково;35000/10000;8
112;Россия;110000/10000;10
113;Рыбниково;35000/10000;5
114;Синарская;110000/35000/10000;71,5
115;Скатинская;110000/35000/10000;20
116;Сухой Лог;110000/6000;35
117;Тыгиш;110000/10000;16,3
118;Учхоз;35000/10000;3,4
119;Фарфоровая;110000/10000;32
120;Хризолит;35000/10000;4,3
121;Чайка;110000/10000;12,6
122;Черданцы;110000/35000/10000;12,6
123;Черемхово;110000/10000;6,3
124;Адуй-Ваштымская;35000/6000;3,6
125;Александровская;35000/10000;6,5
126;Арти;110000/35000/10000;41
127;Атиг;110000/35000/6000;13,8
128;Афанасьевская;35000/10000;3,4
129;Ачит-110;110000/35000/10000;16
130;Ачит-35;35000/10000;1,6
131;Аять;35000/6000;3,6
132;Бакряж;35000/10000;5,8
133;Балтымская;110000/35000/10000;13,8
134;Березовая;35000/10000;2,8
135;БЗСК;35000/6000;11,2
136;БИЗ;35000/6000;12,6
137;Бисерть;110000/35000/6000;32
138;Большой Ут;35000/10000;3,2
139;Бородинская;110000/10000;16
140;Бугалыш;35000/10000;8
141;Верхнее Макарово;110000/6000;6,3
142;Верхняя Сысерть;110000/35000/6000;32
143;Волжская;110000/10000;12,6
144;Волна;110000/10000;32
145;Габбровая;110000/6000;2,5
146;Гипсовая;35000/10000;4
147;Гологорка;110000/6000;20
148;Дачная;110000/10000;12,6
149;Дегтярка;110000/35000/6000;36
150;Диорит;110000/10000;20
151;ДОЗ;110000/10000;20
152;Драга;110000/35000/10000;14
153;Исетско-Аятская;35000/6000;6,4
154;Кадниковская;110000/10000;20
155;Карги;110000/10000;2,5
156;Кварц (ЗЭС);110000/6000;20
157;Кленовская;35000/10000;5,6
158;Ключевая;35000/10000;2,5
159;Конезавод;110000/10000;16,3
160;Космос (ЦРП-2);35000/6000;8,8
161;Красная (ЗЭС);35000/10000/400;8
