name;voltage;power
ТПС Шамары;110;41
ТПС Вогулка;110;31
ТПС Шаля;110;50
ТПС Сарга;110;31
ТПС Сабик;110;31
ТПС Кузино;110;32
ТПС Бойцы;110;31
ТПС Подволошная;110;30
ТПС Хрустальная;110;50
ТПС Екатеринбург-Сорт.;110;40
ТПС Звезда;35;75
ТПС Макарцево;110;32
ТПС Ревда;110;40
ТПС Дидино;35;31
ТПС Дружинино;220;143
РП Депо;110;32
ТП ст. Кын;35;0.1
ТПС Дубровный;110;32
ТПС Еланский (Ялунино);110;50
ТПС Камышлов (Раздолье);110;50
ТПС Аксариха (Луч);110;32
ТПС Ощепково (Светофор);110;32
ТПС Талица (Маян);110;32
ТПС Чупино (Парус);110;32
ТПС Юшала (Зарница);110;32
ТПС Тугулым (Линейная);110;32
ТПС Кармак;110;32
ТПС Исеть;35;52.6
ТПС Таватуй;110;32
ТПС Мурзинка;110;20
ТПС Рудянка;110;31
ТПС Невьянск;110;20
ТПС Быньговский;110;32
ТПС Анатольская;110;20
ТПС Монзино;35;47.63
ТПС Смычка;35;50
ТПС Салка;110;20
ТПС Юбилейная;110;20
ТПС Комсомольская;110;20
ТПС Встреча;110;20
ТПС Ясашная;110;20
ТПС 113 км;110;20
ТПС Лая;110;20
ТПС Орбита;110;31
ТПС Верхняя;35;34.6
ТПС Чекмень;110;20
ТПС Именная;110;12.75
ПС №1 Качканар;110;17.5
ПС Азиатская;110;20
ТПС Выя;110;26
ТПС Карелино;110;20
ТПС Верхотурье;110;32
ТПС Разъезд 136 км;110;41
ТПС Вагранская;110;20
ТПС Серов-сортировочный;110;32
ТПС Воронцовка;110;32
ТПС Лесная Волчанка;110;35
ТПС Бокситы;110;20
ТПС 132 км;110;20
ТПС Самоцвет;110;20
ТПС Егоршино;110;32
ТПС Рефт;35;41.06
ТПС 228 км;110;32
ТПС 20 км;110;20
ТПС Алтынай;110;32
ТПС Кунара (238 км);110;32
ТПС Шарташ (Маяк);110;32
ТПС Арамиль (Летная);110;50
ТПС Колюткино;110;32
ТПС Храмцовская;110;32
ТПС Перебор (Покровка);110;32
ТПС Каменск-Уральский (Урал);35;60
ТПС Колчедан;110;32
ТПС Сосновка (Рубин);110;20
ТПС 19 км;110;32
ТПС Режик;110;20
ТПС Исток (Родник);110;75
ТПС Бобровка (Глубокое);110;32
ТПС Гагарский;110;32
ТПС Баженово (Стрела);110;32
ТПС Измоденово;110;50
ТПС Кортогуз;110;32
ТПС Богданович;110;50
ТПС Сысерть (Гвоздика);110;32
ТПС Патруши;110;32
РП Седельниково;110;12.6
