Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 110/35/6 Тамбовская №2;1962;65;52.7011208070645;41.4311102627233
ПС 110/6 Тамбовская №3;1958;50;52.7145278534722;41.4138476590352
ПС 110/6 Тамбовская №5;1967;50;52.6806963976721;41.46529296998
ПС 110/6 Тамбовская №7;1983;50;52.7341181638949;41.4209176750997
ПС 110/35/6 Пигмент;1985;126;52.737100364901;41.4985477523935
ПС 110/6 Тамбовская №8;1992;80;52.7628717607795;41.3700950020468
ПС 110/35/6 Малиновская;1976;80;52.9998563358202;41.4348198170155
ПС 110/35/10 Тамбовская №6;1979;32;52.769941935924;41.4347605142053
ПС 110/10 Н.Лядинская;1962;16.3;52.7144496940016;41.6337682017204
ПС 110/35/10 Комсомольская;1974;20;52.7685100431857;41.2837096404214
ПС 110/10 М.Талинская;1981;10;52.7218055942095;41.6728121599797
ПС 110/35/10 Промышленная;1983;80;52.6353919366869;41.4234749113824
ПС 110/35/10 Арженская;1962;20;52.6929967615307;41.9620061846721
ПС 110/10 Телешовская;1974;5;52.7351510229152;42.2308413223918
ПС 110/6 Октябрь;1971;50;52.7419524455311;41.3913152700349
ПС 110/10 Спасская;1974;12.6;52.630780932698;41.8915034763447
ПС 110/35/10 Кузьминская;1973;20;52.4085445128468;41.2490545517425
ПС 110/35/10 Сампурская;1965;26;52.2913630090533;41.6297400686893
ПС 110/6 Кож.завод;1984;20;52.7083281867696;41.9477231528627
ПС 110/35/6 Рассказовская;1960;45;52.6595372502972;41.8682379702945
ПС 110/35/10 Волчковская;1962;12.6;52.4931050466135;40.6786459394211
ПС 110/35/10 Староюрьевская;1971;16.3;53.3424727908428;40.6936613076426
ПС 110/35/10 Хмелевская;1973;20;52.7913193214808;40.5415547223336
ПС 110/35/10 Хоботовская;1967;20;53.1100927557872;40.3233401523962
ПС 110/35/10 Никифоровская;1987;26;52.8678323525059;40.7545298267866
ПС 110/10 Н.Сеславинская;1971;2.5;53.3055394998632;40.4318268736065
ПС 110/10 Н.Архангельская;1987;2.5;53.2689210954049;40.2609642894187
ПС 110/10 Иловайская;1983;5;53.2239927575722;40.4523668391224
ПС 110/35/10 Южная;1986;16;52.8882623379003;40.4748539219761
ПС 110/27.5/6 Первомайская;1964;63;53.2612381859048;40.2654430667439
ПС 110/35/10 Сосновская;1977;32;53.214763273282;41.3540723415346
ПС 110/35/10 Пичаевская;1979;20;53.2397579532106;42.1959895475975
ПС 110/35/10 Алгасовская;1973;80;53.6830452107334;41.7174508299156
ПС 110/35/6 Моршанская;1996;65;52.0887219779414;40.8113948620927
ПС 110/35/6 Камвольная;1972;41;53.4407915518389;41.7592331787343
ПС 110/35/10 Граждановская ;1965;20;52.947562270948;42.2750493442643
ПС 110/35/10 Нащекинская ;1979;20;52.9133764918826;42.0557605789369
ПС 110/10 Шачинская;1988;2.5;53.076788973676;42.2004567674736
ПС 110/35/10/6 Уваровская;1977;42;51.9388627396805;42.2391292118175
ПС 110/35/10 Мучкапская;1982;20;51.8514312588091;42.4331891045433
ПС 110/10 М.Алабушская;1988;5;51.9237768635474;42.0907292911525
ПС 110/35/10 М.Горьковская;1977;26;51.8865924321459;41.8841881026668
ПС 110/10 Шпикуловская;1984;8.8;51.7507776001612;41.8608949294214
ПС 110/35/10 Жердевская;1978;32;51.8253270392511;41.494239967137
ПС 110/35/10 Ржаксинская;1972;20;52.1284376303926;42.0299447916963
ПС 110/10 Богдановская;1989;5;52.2212856514763;42.283096317717
ПС 110/10 Фабричная;2016;32;52.010260;41.146174
ПС 110/35/10 Токаревская;1977;50;51.9881844853966;41.1828151765115
ПС 110/35/10 М.Зверяевская;1977;16.3;52.1674760034621;41.402359169241
ПС 110/35/10 Мордовская;1982;20;52.0887219779414;40.8113948620927
ПС 110/35/10 Павловская;1991;10;52.2005781862806;40.9663269784455
ПС 110/35/10 Кирсановская;1977;50;52.6546377460214;42.7465717786795
ПС 110/35/10 Инжавинская;1974;32;52.3228190435513;42.4765676616434
ПС 110/35/10 Умётская;1984;20;52.564397676998;42.9722828440779
ПС 110/35/10 Ковыльская;1981;20;52.6429558005432;42.4117298924516
ПС 110/10 Иноковская;1974;2.5;52.5287324074198;42.5497132108319
ПС 110/10 ПТФ;2011;32;52.3243879738058;42.4595766311019
ПС 35/6 Элеваторная;1978;5;52.4620939687482;41.4638132883654
ПС 35/10 Пичерская;1974;5;52.5879876272264;42.022932374381
ПС 35/10 Осиновская;1982;5;52.5537547758101;42.2746848806437
