Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Восточная;864;220/110/10
ПС 220кв Асино;250;220/110/10
ПС 220кВ Вертикос;126;220/110/10
ПС 220кВ Володино;126;220/110/10
ПС 220кВ ГПП-220;250;220/110/10
ПС 220кВ Завьялово;64;220/10/10
ПС 220кВ Зональная;400;220/110/10
ПС 220кВ Каргасок;50;220/35/10
ПС 220кВ Мельниково;126;220/110/10
ПС 220кв Орловка;50;220/35/10
ПС 220кв Парабель;189;220/110/10
ПС 220кВ Раскино;64;220/10/10
ПС 220кВ Советско-Соснинская;501;220/110/35/6
ПС 220кВ Чажемто;126;220/110/10
ПС 220кВ Чапаевка;189;220/110/10
ПС 500 кВ Таврическая;1002;500/220/10
ПС 500кВ Томская;1002;500/220/10
