Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ Алексейково;1989;1.6;58.1685806123026;35.4655450459619
ПС 35/10 кВ Беляницы ;1984;1.6;57.6981012133975;36.9792311339644
ПС 35/10 кВ Борисовское ;1985;1;58.2387265109776;35.9527241576471
ПС 35/10 кВ Высокуша  ;1982;1.6;58.0291695595424;36.9936283928202
ПС 35/10 кВ Гостиница ;1983;1.6;58.0482535014054;36.1171932943088
ПС 35/10 кВ Григорово ;1979;2.5;58.6944972468657;36.9364073310815
ПС 35/10 кВ Деледино ;1982;4;58.2332270611899;36.9183436867067
ПС 35/10 кВ Зараменье ;1968;1.6;58.0136387004691;35.7818323139464
ПС 35/10 кВ Зобы ;1981;2.5;57.7376351394842;36.7111620708
ПС 35/10 кВ Кой  ;1985;1.8;57.7436647258845;37.4031509252362
ПС 35/10 кВ Ладожское  ;1979;1.6;58.4286261655439;36.0564999428333
ПС 35/10 кВ Литвиново ;1976;4;58.0739117111866;37.458219408843
ПС 35/10 кВ Лощемля  ;1976;2.5;57.9453781374612;35.6129077096644
ПС 35/10 кВ Любегощи ;1964;1.8;58.5696908815374;36.8172060846967
ПС 35/10 кВ Мартыново ;1980;1.6;58.3569995720897;37.2820685668985
ПС 35/10 кВ Михайловское  ;1980;2.5;58.3866699432268;35.505461550147
ПС 35/10 кВ Морозово  ;1991;2.5;57.9658076325112;36.7677248637033
ПС 35/10 кВ Поповка ;1980;1.6;58.149171108863;37.2740058092455
ПС 35/10 кВ Романцево ;1969;1.6;57.5473308204175;36.9125134169817
ПС 35/10 кВ Старое Сандово ;1976;2.5;58.3933542459358;36.6002455407138
ПС 35/10 кВ Сукромны ;1976;1.6;57.6773596116167;36.8039900474
ПС 35/10 кВ Теблеши ;1980;2.5;57.4776533741978;36.6106506997791
ПС 35/10 кВ Трестна ;1979;2.5;57.5381888548146;35.9759250332167
ПС 35/10 кВ Фралево ;1994;4;57.8122276506581;36.689438107678
ПС 35/10 кВ Чамерово ;1981;1.8;58.4642859941798;37.371467100751
ПС 110/10 кВ Ахматово ;1979;2.5;58.2050235866516;36.4869570462228
ПС 110/10 кВ Кладово ;1982;6.3;57.782564746761;36.6307383089102
ПС 110/10 кВ Лаптиха ;1983;2.5;57.7085873039941;36.505252512965
ПС 110/10 кВ Малышево ;1978;2.5;57.8306949327631;35.6311290643873
ПС 110/10 кВ Старт ;1998;16;57.776523504668;36.718058575477
ПС 110/35 кВ Рассвет ;1981;10;57.7807537899867;37.1714104672784
ПС 110/35/10 кВ Иваново ;1979;6.3;58.547368724877;37.0812948917115
ПС 110/35/10 кВ Кесьма ;1980;6.3;58.4137550797926;37.0732954780384
ПС 110/35/10 кВ Моркины Горы ;1966;5.6;57.5646845020735;36.3162300329928
ПС 110/35/10 кВ Топалки  ;1967;6.3;58.2898085836852;36.1381913623498
ПС 35/10 кВ Березье ;1990;2;58.2850126910515;36.6782068712068
ПС 35/10 кВ Лесное ;1967;6.5;58.2957611052909;35.5227934760851
ПС 35/10 кВ Максатиха   ;1964;10.3;57.7752403330903;35.9322093886541
ПС 35/10 кВ Молоково ;1961;6.5;58.1495030845799;36.7543279499187
ПС 35/10 кВ Новокотово;1978;5;58.064675135796;36.6197044931606
ПС 35/10 кВ Ривзавод  ;1975;4.1;57.6320900025924;35.9088464697972
ПС 35/10 кВ Сонково ;1961;7.2;57.7811919475577;37.1585026578561
ПС 35/10 кВ Сулежский Борок ;1983;4.1;57.9668199524493;36.8193100945184
ПС 110/10 кВ Шишково Дуброво ;1975;12.6;57.7937580575652;36.4611935603612
ПС 110/35/10 кВ Весьегонск ;1978;12.6;58.650946279156;37.2501273020021
ПС 110/35/10 кВ ДВП  ;1990;50;57.8020291616387;35.9036288541529
ПС 110/35/10 кВ Красный Холм ;1984;20;58.0756109747629;37.1317436677753
ПС 110/35/10 кВ Поречье ;1960;12.6;58.0301512370877;36.4255695651543
ПС 110/35/10 кВ Сандово ;1964;20;58.4484705622563;36.4139522078827
ПС 110/35/10 кВ Шолмино ;1960;50;57.8102778269262;36.7108833369674
ПС 35/6 кВ Бельский Карьер ;1979;4;57.7347088031205;34.2514556349698
ПС 35/10 кВ Дубровка ;1984;1.6;57.3372878188273;33.6951099205228
ПС 35/10 кВ Жилотково ;1980;1.8;57.5435708444956;34.2009403545947
ПС 35/10 кВ Копачево ;1980;1.6;57.9033371703751;34.7811562422784
ПС 35/10 кВ Кузнецово ;1983;1.6;57.6819617438658;35.2154660726508
ПС 35/10 кВ Лужниково ;1984;2.5;57.3974539559403;34.1217816220665
ПС 35/10 кВ Насакино  ;1978;2.5;57.9799776832739;33.6509233269139
ПС 110/35 кВ Октябрьский Карьер ;1989;25;57.2807550547607;34.2297769025291
ПС 35/10 кВ Порожки ;1962;1;57.9509027758632;35.0151808663627
ПС 35/6 кВ ХБК;1970;4;57.6042684089364;34.5970350206001
ПС 35/6 кВ №5 ;1972;2.6;57.8728476589661;33.5843459846058
ПС 35/10 кВ 9-е Января  ;1985;16.3;57.5830920083465;34.5190631269386
ПС 35/6 кВ АКУ ;1986;7.2;57.7116642227319;34.3080293507082
ПС 35/6 кВ Афанасово ;1968;3.4;57.8240221041303;33.5451977606644
ПС 110/6 кВ Б-4 ;1986;20;57.8689263386645;33.6781839033637
ПС 35/6 кВ Борисово ;1960;6.4;57.6708269005892;34.1439111009932
ПС 35/10 кВ Боровно ;1979;5;57.7721481817238;34.3835503624813
ПС 110/10 кВ Бушевец ;1988;12.6;57.8442779260156;34.16269379207
ПС 35/6 кВ Великий Октябрь ;1975;10.3;57.4420319822074;33.8144124391921
ПС 35/10 кВ Выдропужск ;1979;4.1;57.3579252791329;34.8365955332397
ПС 35/10 кВ Голубые Озера  ;1990;4.1;57.7678684419901;34.8925692802073
