Наименование центра питания;Установленная мощность, МВА
ПС 110/10 кВ Азино;11.9
ПС 110/10 кВ Арзамасцево;20
ПС 110/10 кВ Бабино;12.6
ПС 110/10 кВ Каменное;12.6
ПС 110/10 кВ Кигбаево;5
ПС 110/10 кВ Мазунино;12.6
ПС 110/10 кВ Нечкино;5
ПС 110/6 кВ Опытная;20
ПС 110/10 кВ Пальник;5
ПС 110/6 кВ Пирогово;50
ПС 110/10 кВ Подгорное;5
ПС 110/10 кВ Уральская;12.6
ПС 110/10 кВ Юрино;6.3
ПС 110/10 кВ Арлеть;50
ПС 110/10 кВ Болгуры;12.6
ПС 110/10 кВ Быги;6.3
ПС 110/6 кВ Волковская;12.6
ПС 110/10 кВ Газовая;12.6
ПС 110/6 кВ Калашников;80
ПС 110/6 кВ Машзавод;126
ПС 110/10 кВ Игерман;12.6
ПС 110/6 кВ Кузнечная;32
ПС 110/10 кВ Малиновка;5
ПС 110/6 кВ Подлесная;32
ПС 110/10 кВ Прессовая;103
ПС 110/10 кВ Сосновка;5
ПС 110/10 кВ Турна;2.5
ПС 110/10 кВ Удугучин;5
ПС 110/10 кВ Успенка;20
ПС 110/10 кВ Автозавод;126
ПС 110/6 кВ Рабочая;80
ПС 110/10 кВ Бройлерная;24
ПС 110/10 кВ Валамаз;2.5
ПС 110/10 кВ Сегедур;20
ПС 110/10 кВ Сянино;8.8
ПС 110/10 кВ Центральная;80
ПС 110/6 кВ Майская;80
ПС 110/6 кВ Инструментальная;25
ПС 110/6 кВ Сибирская;50
ПС 110/10 кВ Солдырь;12.6
ПС 110/6 кВ Танково;32
ПС 110/6 кВ Соцгород;40
ПС 110/6 кВ Парковая;30
ПС 110/6 кВ Вокзальная;50
ПС 110/6 кВ Культбаза;80
ПС 110/6 кВ Медведево;20
ПС 110/10 кВ Восточная;50
ПС 110/10 кВ Кировская;50
ПС 110/6 кВ Подборенка;32
ПС 110/6 кВ Водозабор;50
ПС 110/6 кВ Городская;32
ПС 110/10 кВ Птицефабрика;12.6
ПС 110/6 кВ Прудовая;12.6
ПС 110/6 кВ Гравийная;31
ПС 110/6 кВ Машдеталь;20
ПС 110/10 кВ Компрессорная;32
ПС 110/6 кВ Северная;32
ПС 110/6 кВ Высотная;50
ПС 110/6 кВ Дзержинская;30
ПС 110/6 кВ Дубровка;12.6
ПС 110/10 кВ Союзная;80
ПС 110/10 кВ Пазелы;25
ПС 110/10 кВ Полевая;12.6
ПС 220/35/6 кВ Глазов;80
ПС 220/35/6 кВ Юбилейная;40
ПС 110/35/10 кВ Алнаши;32
ПС 35/10 кВ Новогорское;2.5
ПС 35/10 кВ Мари;3.2
ПС 35/10 кВ Асаново;4
ПС 35/10 кВ Кузебаево;5
ПС 35/10 кВ В. Ятчи;5
ПС 110/35/10 кВ Вараксино;20
ПС 35/10 кВ Шабердино;8
ПС 35/10 кВ Сириус;2.5
ПС 110/35/6 кВ Заречная;31
ПС 110/35/10 кВ Завьялово;32
ПС 35/10 кВ Казмаска;5
ПС 35/10 кВ Гольяны;12.6
ПС 110/35/10 кВ Ильинская;16.3
ПС 35/10 кВ Б.Кибья;5
ПС 35/10 кВ Уром;5
ПС 110/35/10 кВ Камбарка;50
ПС 35/10 кВ Ершовка;8
ПС 35/10 кВ Порт;6.3
ПС 110/35/10 кВ Каракулино;20
ПС 110/10 кВ Луч;20
ПС 35/10 кВ Быргында;8
ПС 35/10 кВ Кулюшево нов.;4
ПС 35/10 кВ Кулюшево стар.;1.6
ПС 110/35/10 кВ Киясово;50
ПС 35/10 кВ Ильдибаево;5
ПС 35/10 кВ Яжбахтино;5
ПС 35/10 кВ Салья;2.5
ПС 110/35/6 кВ Лесная;20
ПС 35/6 кВ Р. Вожой;5
ПС 35/10 кВ Сокол;0.56
ПС 110/35/10 кВ Мостовое;6.3
ПС 35/10 кВ Тарасово;4.8
ПС 110/35/10 кВ Никольская;32
ПС 35/10 кВ Совхозная;4
ПС 35/10 кВ Юськи;4
ПС 35/10 кВ Норья;1.6
ПС 35/10 кВ Чекерил;8
ПС 35/10 кВ Ударник;5
ПС 110/35/10 кВ Поршур;20
ПС 35/10 кВ Грахово;7.2
ПС 35/10 кВ Васильево;3.2
ПС 110/35/10 кВ Пурга;36
ПС 35/10 кВ Радист;5
ПС 110/35/6 кВ Сарапул;50
ПС 35/10 кВ Сарапул;20
ПС 110/35/10 кВ Яган;12.6
ПС 35/10 кВ Кечево;5
ПС 110/35/10 кВ Вавож;20
ПС 35/10 кВ Лыстем;1.6
ПС 35/10 кВ Рябово;5
ПС 35/10 кВ Макарово;3.2
ПС 35/10 кВ Б.Уча;5
ПС 110/35/10 кВ Нылга;32
ПС 35/10 кВ Урал;5
ПС 35/10 кВ Булай;5
ПС 35/10 кВ Кыйлуд;5
ПС 110/35/10 кВ Вала;20
ПС 35/10 кВ Зямбай;5
ПС 35/10 кВ Искра;1.6
ПС 35/10 кВ Ожги;3.2
ПС 110/35/10 кВ Селты;20
ПС 35/10 кВ Копки;3.2
ПС 35/10 кВ Монья;5
ПС 110/35/10 кВ Мир;12.6
ПС 35/10 кВ Халды;3.2
ПС 110/35/10 кВ Сюмси;20
ПС 35/10 кВ Гура;2.8
ПС 110/35/10 кВ Ува;31
ПС 35/10 кВ Тукля;6.5
ПС 35/10 кВ Каркалай;1.6
ПС 35/10 кВ Калининская;2.5
ПС 35/10 кВ Мушковай;3.2
ПС 35/10 кВ К.Жикья;3.2
ПС 110/35/10 кВ Шаркан;20
ПС 35/10 кВ Карсашур;3.2
ПС 35/10 кВ Кельдыш;3.2
ПС 35/10 кВ Сюрсовай;1.6
ПС 35/10 кВ Тыловай;4.1
ПС 110/35/10кВ Як-Бодья;20
ПС 35/10 кВ Чур;8
ПС 35/10 кВ Пионерская;4
ПС 110/35/10 кВ Кестым;20
ПС 35/10 кВ Бурино;8
ПС 110/35/10 кВ Карсовай;20
ПС 35/10 кВ Сергино;2.5
ПС 35/10 кВ Люк;3.2
ПС 35/10 кВ Н.Гыя;2.5
ПС 35/10 кВ Наговицино;4.1
ПС 110/35/10 кВ Красногорье;20
ПС 35/10 кВ Дебы;1.6
ПС 35/10 кВ Бараны;4.1
ПС 35/10 кВ Васильевская;1.6
ПС 35/10 кВ Курья;4.1
ПС 110/35/10 кВ Мирная;50
ПС 35/10 кВ Дебесы;8
ПС 35/10 кВ Ариково;3.2
ПС 35/10 кВ Зура;5
ПС 110/35/6 кВ Нефтемаш;80.5
ПС 35/6 кВ Россия;3.2
ПС 35/6 кВ Аэропорт;12.6
ПС 110/35/6 кВ Воткинск;32
ПС 35/10 кВ Кварса;5
ПС 35/10 кВ Перевозное;5
ПС 35/10 кВ Светлое;5
ПС 35/10 кВ Июльское;7.2
ПС 35/10 кВ Первомайская;5
ПС 35/10 кВ Гавриловка;5
ПС 110/35/10 кВ Орловская;50
ПС 35/10 кВ Сюрек;6.5
ПС 110/35/10 кВ Кизнер-110;20
ПС 35/10 кВ Кизнер-35;8
ПС 35/10 кВ Ст. Ятчи;4.1
ПС 35/10 кВ Вичурка;2.5
ПС 110/35/6 кВ Можга;50
ПС 35/10 кВ Бемыж;5
ПС 35/10 кВ Горняк;2.5
ПС 35/10 кВ Пинязь;5
ПС 35/10 кВ Пычас;8
ПС 35/10 кВ Сельская;5
ПС 35/10 кВ Чумайтло;8
ПС 35/10 кВ Гыбдан;3.2
ПС 35/10 кВ Люга;5
ПС 35/10 кВ Пазял;3.2
ПС 110/35/10 кВ Юкаменск;12.6
ПС 35/10 кВ Ежево;3.2
ПС 35/10 кВ Палагай;3.2
ПС 35/10 кВ Пышкет;3.2
ПС 35/10 кВ Уни;3.2
ПС 110/35/10 кВ Яр;20
ПС 35/10 кВ Укан;4
ПС 35/10 кВ Пудем;8
ПС 35/10 кВ Ст.Зятцы;5
ПС 35/10 кВ Кивары;3.2
ПС 35/10 кВ Мукши;5
ПС 35/6 кВ Птицефабрика;5
ПС 35/10 кВ 40 лет Октября;8
ПС 35/10 кВ Гвардейская;5
ПС 35/10 кВ Горная;8
ПС 35/10 кВ Дружба;1.6
ПС 35/10 кВ Заря;8
ПС 35/10 кВ Кулига;7.9
ПС 35/10 кВ Люм;1.6
ПС 35/10 кВ Отогурт;3.2
ПС 35/10 кВ Парзи;3.2
ПС 35/10 кВ Педоново;6.5
ПС 35/10 кВ Полом;1.6
ПС 35/10 кВ Понино;5
ПС 35/10 кВ Слудка;1.6
ПС 35/10 кВ Тюптиево;1.6
ПС 35/10 кВ Факел;8
ПС 35/10 кВ Чутырь;8
ПС 35/10 кВ Ю.Тольен;1
ПС 35/10 кВ Юнда;8
ПС 35/10 кВ Андрейшур;1.6
ПС 35/6 кВ Южная;32
ПС 35/10 кВ Пибаньшур;3.4
