№ п/п;Наименование центра питания;Установленная мощность, МВА
1;ПС 110/6 Автозапчасть;50
2;ПС 35/10 Алгаши;3.2
3;ПС 35/10 Архангельская;2.5
4;ПС 35/10 Астрадамовка;10.3
5;ПС 35/10 Барышская Слобода;2.5
6;ПС 110/10 Белозерье;6.3
7;ПС 110/10 Бирючевская;6.3
8;ПС 110/35/10 Большая Кандарать;16.3
9;ПС 110/10 Большие Ключищи;16.3
10;ПС 35/10 Большие Поселки;4
11;ПС 110/35/10 Большое Нагаткино;32
12;ПС 35/6 Водозабор;20
13;ПС 110/10 Восточная;65
14;ПС 35/10 Выползово;12.6
15;ПС 110/10 Выры;8.8
16;ПС 35/10 Гимово;2.5
17;ПС 110/10 Горенки;6.3
18;ПС 110/10 Елаур;12.6
19;ПС 35/10 Елховое Озеро;4
20;ПС 35/10 Елшанка;10.3
21;ПС 35/10 Ждамирово;2.5
22;ПС 110/35/10/6 ЗСК;41
23;ПС 110/35/10 Игнатовка;12.6
24;ПС 110/35/10 Ишеевка;50
25;ПС 110/35/10 Карсун;41
26;ПС 35/10 Красноборская;5
27;ПС 110/10 Кротково;6.3
28;ПС 110/6 Лесная;50
29;ПС 110/10 Луговая;12.6
30;ПС 110/10 Майна;16.3
31;ПС 35/10 Маклауши;4.3
32;ПС 110/10/6 МИЗ;10
33;ПС 35/10 Мокрая Бугурна;6.3
34;ПС 35/10 Новое Никулино;4
35;ПС 110/10 Отрада;16.3
36;ПС 110/10 Россия;12.6
37;ПС 110/6 Свияга;126
38;ПС 110/35/10/6 Северная;100
39;ПС 110/10 Сенгилей-город;12.6
40;ПС 110/10/6 Сенгилей-цем.завод;25
41;ПС 110/10 Скугареевка;7.5
42;ПС 35/10 Скугареевка;10
43;ПС 110/10 Сосновка;6.3
44;ПС 110/35/10 Сурская;32
45;ПС 110/10 Тагай;6.3
46;ПС 110/10 Тепличная;12.6
47;ПС 110/35/10 Тереньга;20
48;ПС 35/10 Тимерсяны;6.3
49;ПС 110/10 Тушна;6.3
50;ПС 35/10 Ундоры;16.3
51;ПС 110/10 Уржумская;12.6
52;ПС 35/10 Хмелевка;4
53;ПС 110/10/6 Центральная;206
54;ПС 110/35/10 Цильна;40
55;ПС 110/6 Южная;96
56;ПС 110/35/10 Языково;20
57;ПС 110/10 Глотовка;10
58;ПС 35/10 Борисовка;2.5
59;ПС 35/10 Валгуссы;4
60;ПС 110/10 Базарный Сызган;6.3
61;ПС 35/10 Коржевка;2.5
62;ПС 35/10 Головцево;1.8
63;ПС 35/10 Труслейка;2.5
64;ПС 35/10 Папузы;4
65;ПС 110/10 ПОШ;20
66;ПС 35/10 Каргино;8
67;ПС 35/10 Кузоватово;12.6
68;ПС 110/10 Чуфарово;12.6
69;ПС 110/10 Редуктор;16.3
70;ПС 110/35/10 Вешкайма;20
71;ПС 35/10 Спешневка;2.5
72;ПС 35/10 Жадовка;10.3
73;ПС 110/35/10 Тимошкино;20
74;ПС 35/10 Лесное Матюнино;1.8
75;ПС 110/10 Чамзинка;10
76;ПС 35/10 Чириково;2.5
77;ПС 35/10 Смышляевка;4
78;ПС 35/10 Еделево;2.5
79;ПС 35/10 Живайкино;4
80;ПС 35/10 Бекшанка;1.8
81;ПС 35/10 Новый Дол;2.5
82;ПС 35/10 Измайлово;7.2
83;ПС 35/10 Западная;2.5
84;ПС 35/10 Стемасс;2.5
85;ПС 35/10 Бекетовка;4
86;ПС 110/35/10 Рязаново;26
87;ПС 110/10 Новочеремшанск;10
88;ПС 35/10 Уткино;1.8
89;ПС 35/10 Моисеевка;2.5
90;ПС 35/10 Мясокомбинат;12.6
91;ПС 35/10 Вишенка;7.2
92;ПС 110/10 Александровка;12.6
93;ПС 110/10 Русский Мелекесс;2.5
94;ПС 110/10 Лебяжье;6.3
95;ПС 35/10 Средняя Якушка;2.5
96;ПС 110/10 Новая Малыкла;12.6
97;ПС 35/10 Льнокомбинат;20
98;ПС 110/35/10 Новая Майна;32
99;ПС 35/10 Высокий Колок;8
100;ПС 35/10 Правда;8
101;ПС 35/10 Крупская;16.6
102;ПС 35/10 Береговая;20
103;ПС 35/10 Боровка;2.5
104;ПС 35/10 Никольская-1;2.5
105;ПС 35/10 Никольская-2;2.5
106;ПС 35/10 Старая Сахча;4
107;ПС 110/10 Старое Матюшкино;6.3
108;ПС 35/10 Крестово Городище;4
109;ПС 35/10 Учхоз;6.3
110;ПС 35/10 Бряндино;2.5
111;ПС 35/10 Суходол;4
112;ПС 35/10 Хмелевка;4.1
113;ПС 110/10 Мулловка;20
114;ПС 35/10 Татарский Калмаюр;7.2
115;ПС 35/10 Белый Яр;5.7
116;ПС 110/10 Мирная;20
117;ПС 110/35/10 Тиинск;26
118;ПС 110/35/10 Озерки;16.3
119;ПС 35/10 Старое Рождественное;2.5
120;ПС 35/10 Кременские Выселки;2.5
121;ПС 35/10 Большая Кандала;1.8
122;ПС 110/10 Жедяевка;2.5
123;ПС 35/10 Новиковка;4
124;ПС 110/10 Дмитриево-Помряскино;2.5
