Наименование;Установленная мощность, МВА;Классы напряжения
ПС 110 кВ Эльтон;12,6;110/10
ПС 220 кВ Алюминиевая;885;220/110/10
ПС 220 кВ Андреановская;20;220/10/10
ПС 220 кВ Арчеда;250;220/110/10
ПС 220 кВ Астаховская;126;220/110/10
ПС 220 кВ Волжская;706;220/110/35/10/6
ПС 220 кВ Гумрак;490;220/110/35/10/6
ПС 220 кВ Заливская;142;220/110/35/10
ПС 220 кВ Кировская;1060;220/110/35
ПС 220 кВ Котельниково;176;220/110/35/10
ПС 220 кВ Красный Яр;295,6;220/110/10
ПС 220 кВ Литейная(П617);250;220/110/10
ПС 220 кВ Палласовка;282;220/110/35/10
ПС 220 кВ Петров Вал;250;220/110/10
ПС 220 кВ Садовая П494;300;220/110/6
ПС 220 кВ Сатаровская;123;220/110/10
ПС 220 кВ Северная(П492);263;220/110/6
ПС 220 кВ Юбилейная;465;220/110/35/6
ПС 500 кВ Балашовская;1521;500/220/110/10
ПС 500 кВ Волга;1002;500/220/10
ПС 500 кВ Трубная;1252;500/220/110/10
