№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Разгуляевская;110000/6000;55
2;Фестивальная;110000/6000;46
3;Моторная;110000/10000/6000;25
4;Дзержинская;110000/6000;32
5;Сибирь-Гора;110000/6000;48
6;Олимпийская;110000/6000;96
7;Аэропорт;110000/6000;20
8;Курганная;110000/6000;46
9;Молзавод;110000/10000;16,3
10;Советская;110000/35000/6000;80
11;ТДН;110000/35000/6000;75
12;Центральная;110000/6000;120
13;Петровская;110000/6000;50
14;Дар-Гора-110;110000/35000/6000;32
15;Дар-Гора-35;35000/6000;6,3
16;Яблочная;110000/6000;10
17;Пионерская;110000/6000;32
18;Баррикадная-1;110000/6000;63,5
19;Баррикадная-2;110000/6000;80
20;Спартановка;110000/6000;32
21;Кислородная;110000/6000;30
22;ВГТЗ-1;110000/6000;71,5
23;ВГТЗ-2;110000/6000;80
24;ВГТЗ-3;110000/6000;63
25;Спортивная;110000/6000;57
26;Рынок;110000/10000/6000;80
27;Орловка;35000/10000;12,6
28;ЗКО-1;110000/6000;63
29;ЗКО-2;110000/6000;31,5
30;ЗКО-3;110000/6000;63
31;Кордовая;110000/10000;36
32;Сарепта-1;110000/10000;63
33;Сарепта-2;110000/10000;31
34;Строительная;110000/10000;31
35;Вторчермет;110000/10000;32
36;Развилка-1;110000/10000;50
37;Развилка-2;110000/10000;80
38;Канатная;110000/10000;60
39;Татьянка;110000/10000;22,3
40;Чилеково;35000/10000;4
41;НС-3;35000/10000/6000/400;4
42;НС-4;35000/6000/400;4,16
43;НС-5;35000/6000;2,5
44;НС-5А;35000/6000;2,16
45;Майоровская;110000/10000;12,6
46;Нагавская;110000/10000;6,3
47;Приморская;35000/10000/400;4
48;Вишневая;110000/35000/6000;14
49;Караичевская;110000/10000/6000;20
50;Веселая;110000/10000;6,3
51;Родина;110000/6000;6,3
52;Пимено-Черни;110000/35000/10000;6,3
53;Поперечная;35000/10000;4
54;Выпасная;35000/10000;4
55;Заводская;35000/10000;10
56;Чернышково;110000/35000/10000;16,3
57;Басакино;35000/10000;8
58;Морская;35000/10000;4
59;Тормосино;110000/35000/10000;6,3
60;Алешкино;35000/10000;2,5
61;Журавка;35000/10000;4
62;Пристенка;110000/10000;6,3
63;Нижне-Гнутово;110000/35000/10000;10
64;Октябрьская;110000/35000/10000;26,3
65;Шебалино;110000/10000;6,3
66;Аксай;35000/10000;6,3
67;Абганерово;35000/10000;4
68;Комплекс;110000/35000/10000;10
69;Громославка-2;110000/10000;6,3
70;Ромашки;35000/10000;4
71;Цимлянская;110000/10000/6000;6,3
72;Жутово-2;35000/10000;4
73;Дружба;110000/10000;6,3
74;Суровикино-220;220000/110000/10000;63
75;Суровикино-110;110000/35000/10000;45
76;Ново-Максимовская;110000/10000;8,8
77;Добринка;35000/10000;4
78;Солоновская;110000/35000/10000;10,3
79;Суворовская;110000/10000;6,3
80;Лысово;110000/10000;10
81;Лобакино;35000/10000;4
82;РП-2;35000/10000;5,6
83;Чирская;110000/10000;10
84;Вилейская;110000/6000;32
85;Райгород-II;110000/10000/6000;20
