№ ПС/ТП;Наименование;Установленная мощность, МВА
1;ПС Авдотьино  35/10кВ ;5
2;ПС Арсаки  110/35/10кВ;12.6
3;ПС Бавлены 110/10кВ ;20
4;ПС Бакшеево 35/10кВ ;4
5;ПС Белореченская 35/6кВ ;8
6;ПС Годуново 35/10кВ ;4.1
7;ПС Дубки 35/10кВ ;3.2
8;ПС Жердево 35/10кВ ;5
9;ПС Ильинская 35/10кВ ;4.1
10;ПС Искра 35/10кВ ;5
11;ПС Карабаново 110/10кВ;50
12;ПС Кольчугино  110/35/6кВ;105
13;ПС Красное Пламя  35/10кВ ;5.7
14;ПС Легково 110/35/10кВ ;12.6
15;ПС Лизуново 110/6кВ;20
16;ПС Луговая 4 35/6кВ ;2
17;ПС Луговая 5 35/6кВ ;2
18;ПС Макарово 110/35/10кВ ;16.3
19;ПС Мячково 35/10кВ ;1
20;ПС Небылое 110/35/10кВ ;20
21;ПС Новобусино 35/10кВ ;3.2
22;ПС Октябрьская 110/10кВ ;64
23;ПС Сима 35/10кВ ;8
24;ПС Струнино 110/6кВ ;32
25;ПС Хмелево 110/10кВ ;5
26;ПС Энтузиаст 35/10кВ ;8
27;ПС Юрьев-Польская 110/35/10кВ ;50
28;ПС Базовая 110/35/10кВ ;32
29;ПС Бараки 35/10кВ ;8
30;ПС Березово 110/10кВ ;20
31;ПС Берково 110/35/10кВ ;50
32;ПС Боголюбово 110/35/6кВ ;50
33;ПС Брызгалово 35/10кВ;2.5
34;ПС Володарского 35/10кВ ;8
35;ПС Ворша 110/10кВ;126
36;ПС Второво 35/10кВ ;5
37;ПС Вышманово 35/10кВ ;3.2
38;ПС ВЭМЗ  110/6кВ ;105
39;ПС Гавриловская 110/10кВ ;5
40;ПС Головино 35/10кВ ;10.3
41;ПС Горки 35/10кВ ;4.1
42;ПС Городская 110/35/10кВ ;32
43;ПС Западная 110/6кВ ;80
44;ПС Караваево 35/10кВ ;5
45;ПС Кибирево 35/10кВ ;4.1
46;ПС Копнино  110/10кВ ;12.6
47;ПС Костино 35/10кВ ;8
48;ПС Ладога 110/35/10кВ ;41
49;ПС Лесная 110/10кВ ;32
50;ПС Лопатницы 35/10кВ ;8
51;ПС Лучинская 35/10кВ ;4
52;ПС Мошок 35/10кВ ;8
53;ПС Новая Быковка 35/10кВ ;12.6
54;ПС Ново-Александрово  110/10кВ ;12.6
55;ПС Оргтруд 35/10кВ ;12.6
56;ПС Павловская  110/10кВ ;12.6
57;ПС Пенкино 110/10кВ ;12.6
58;ПС Печуга  35/10кВ ;5
59;ПС Покров 110/35/10кВ ;50
60;ПС Полевая  35/10кВ ;8
61;ПС Садовая  110/10кВ ;20
62;ПС Семязино 110/6кВ;80
63;ПС Симаково 35/10кВ ;5
64;ПС Собинка 110/10кВ ;32
65;ПС Сойма 35/10кВ ;3.2
66;ПС Ставрово 35/10кВ ;12.6
67;ПС Судогда 110/35/10кВ ;96.5
68;ПС Суздаль 110/35/10кВ ;32
69;ПС Сунгирь 110/10/6кВ ;50
70;ПС Тракторная 110/6кВ ;111.5
71;ПС Улыбышево 110/10кВ ;12.6
72;ПС Ундол 110/35/10кВ ;111.5
73;ПС Химзаводская 110/6кВ;80
74;ПС Черкутино 35/10кВ ;8
75;ПС Юрьевец 110/10кВ ;20
76;ПС Азимут 110/10кВ ;20
77;ПС Аксёново 35/10кВ ;5
78;ПС Анопино 35/6кВ ;20
79;ПС Вашутино 110/35/10кВ ;20
80;ПС Великодворье  110/10кВ ;20
81;ПС Воровского 35/10кВ ;5
82;ПС Гусь 110/35/6кВ ;111.5
83;ПС Демидово 35/10кВ ;3.2
84;ПС Долбино 35/10кВ ;5
85;ПС Добрятино 110/35/10кВ ;20
86;ПС Заозёрная 110/10кВ ;30
87;ПС Золотково 35/10кВ ;8
88;ПС Кварц 110/10кВ ;80
89;ПС Курлово 35/10кВ ;16.6
90;ПС Мезиново 35/6кВ ;12.6
91;ПС Н.Мезиново 110/35/10кВ ;25
92;ПС Островская 35/6кВ ;2.5
93;ПС Уршель 110/35/6кВ ;20
94;ПС Балымотиха 35/6кВ ;16.3
95;ПС Борисовская 110/35/10кВ ;20
96;ПС Бутылицы 110/10кВ ;8.8
97;ПС Вербовская 110/6кВ ;20
98;ПС Восточная 110/6кВ ;80
99;ПС Гигант 35/10кВ ;5
100;ПС ГКС 35/10кВ ;5
101;ПС Гороховец 110/35/6кВ ;80
102;ПС Денисово 35/10кВ ;6.5
103;ПС Дм. Горы 35/10кВ ;3.2
104;ПС Достижение 110/10кВ ;32
105;ПС Ждановская 110/6кВ ;60
106;ПС Заводская  110/10кВ ;50
107;ПС Илевники 110/10кВ ;8.8
108;ПС Ковров 110/35/6кВ ;103
109;ПС Красный Октябрь 110/35/10кВ ;12.6
110;ПС Кривицы 35/10кВ ;8
111;ПС Кулаки 35/10кВ ;2.5
112;ПС КЭЗ  110/6кВ ;50
113;ПС Лукново 35/10кВ ;5.6
114;ПС Луч 110/6кВ ;32
115;ПС Малиново 35/10кВ ;5
116;ПС Малыгино 35/10кВ ;8
117;ПС Малышево 35/10кВ ;5
118;ПС Меленки 110/35/10кВ ;32
119;ПС Мелехово 110/35/6кВ ;41
120;ПС Молотицы 35/10кВ ;3.4
121;ПС Мордвиново 35/10кВ ;8
122;ПС Мстёра 35/6кВ ;12.8
;ПС Мстёра 35/10кВ ;12.8
123;ПС Муром 110/35/6кВ ;71.5
124;ПС Надеждино  35/10кВ ;2.5
125;ПС Никологоры 110/35/10кВ ;41
126;ПС Орловская 110/6кВ ;80
127;ПС Папулино 110/10кВ ;2.5
128;ПС Пролетарская 35/10кВ ;8
129;ПС С.Горки 35/10кВ ;1.6
130;ПС Северная 35/6кВ ;12.6
131;ПС Селиваново 110/35/10кВ ;32
132;ПС Старая Деревня 35/10кВ ;8
133;ПС Стрелочная 110/6кВ ;50
134;ПС Татарово 35/10кВ ;1.6
135;ПС Фанерная 110/6кВ ;32
136;ПС Федулово 110/10кВ ;12.6
137;ПС Филино 110/35/6кВ ;20
138;ПС Фоминки  35/10кВ ;5
139;ПС Фурсово 35/10кВ ;8
140;ПС Чудиново 35/10кВ ;8
141;ПС Южная  110/6кВ ;80
