"№ ПС/ТП";"Наименование";"Установленная мощность, МВА";"Классы напряжения"
618;"ПС 220 кВ Вологда-Южная";430;"220/110/35/10"
636;"ПС 220 кВ Зашекснинская";126;"220/110/10"
676;"ПС 220 кВ Первомайская";80;"220/10"
689;"ПС 220 кВ Ростилово";250;"220/110/10"
690;"ПС 220 кВ РПП-1";426;"220/110/10"
691;"ПС 220 кВ РПП-2";1.7;"220, 10"
701;"ПС 220 кВ Сокол(П530)";281;"220/110/35/10/6"
751;"ПС 500 кВ Вологодская";334;"500/220/10"
769;"ПС 500 кВ Череповецкая";1002;"500/220/10"
772;"ПС 750 кВ Белозерская";3003;"750/500/220/10"
774;"ПС 500 кВ Южная";;"500/220/10"
