№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;"ПС ""Центральная""";110/10/6;80
2;"ПС ""Восточная""";110/35/10;80
3;"ПС ""Луговая""";110/35/10;50
4;"ПС ""Фетинино""";35/10;8
5;"ПС ""Искра""";110/35/10;50
6;"ПС ""Маега""";35/10;20
7;"ПС ""Можайское""";35/10;5
8;"ПС ""Надеево""";35/10;8
9;"ПС ""Паприха""";35/10;8
10;"ПС ""Снасудово""";35/10;5
11;"ПС ""База""";35/10;2.5
12;"ПС ""Западная""";110/35/6;126
13;"ПС ""Кубенское""";110/35/10;20
14;"ПС ""Кипелово""";110/10;32
15;"ПС ""Ананьино""";110/35/6;10
16;"ПС ""Новленское""";110/10;20
17;"ПС ""Нефедово""";110/35/10;6.3
18;"ПС ""Калинкино""";35/10;3.2
19;"ПС ""Макарово""";35/10;5
20;"ПС ""Молочное""";35/10;12.6
21;"ПС ""Прожектор""";35/10;5
22;"ПС ""Водозабор""";35/6;12.6
23;"ПС ""Грязовец""";110/35/10;50
24;"ПС ""Вохтога""";110/10;20
25;"ПС ""Плоское""";110/35/10;5
26;"ПС ""Жерноково""";110/35/10;6.3
27;"ПС ""Комельская""";35/10;8
28;"ПС ""Криводино""";35/10;3.2
29;"ПС ""Минькино""";35/10;3.2
30;"ПС ""Слобода""";35/10;4.1
31;"ПС ""ГДЗ""";110/6-10;20
32;"ПС ""Биряково""";110/10;5
33;"ПС ""Кадников""";110/10;20
34;"ПС ""Воробьево""";110/35/10;6.3
35;"ПС ""Чекшино""";110/10;2.5
36;"ПС ""Архангельское""";35/10;5
37;"ПС ""Вожега""";110/35/10;20
38;"ПС ""Деревенька""";35/10;3.2
39;"ПС ""Гридино""";35/10;3.2
40;"ПС ""Никитино""";35/10;2
41;"ПС ""Сурково""";35/10;2.6
42;"ПС ""Устье-Кубенское""";35/10;12.6
43;"ПС ""Корнилово""";35/10;20
44;"ПС ""Бережное""";35/10;8
45;"ПС ""Заднее""";35/10;2.5
46;"ПС ""Харовск-районная""";110/35/10;50
47;"ПС ""Семигородняя""";110/10;2.5
48;"ПС ""Никольский Погост""";110/10;5
49;"ПС ""Пундуга""";110/10;2.5
50;"ПС ""Арзубиха""";35/10;1.6
51;"ПС ""Золотава""";35/10;3.2
52;"ПС ""Кумзеро""";35/10;4.1
53;"ПС ""Шапша""";35/10;6.5
54;"ПС ""Сямжа""";110/35/10;20
55;"ПС ""Гремячий""";35/10;3.2
56;"ПС ""Шокша""";35/10;5
57;"ПС ""Монастырская""";35/10;4.1
58;"ПС ""Шуйское""";110/35/10;8.8
59;"ПС ""Игумницево""";35/10;1.6
60;"ПС ""Шейбухта""";35/10;5
61;"ПС ""Искра новая""";110/10;80
62;"ПС ""Нелазское""";110/10;5
63;"ПС ""Загородная""";110/10;20
64;"ПС ""Южная""";110/35/10;80
65;"ПС ""Свигра""";35/0,4;0.1
66;"ПС ""Заягорба """;110/10;80
67;"ПС ""Енюково""";110/10/6;12.6
68;"ПС ""Новые Углы""";110/35/10;50
69;"ПС ""Климовская""";110/35/10;26
70;"ПС ""Малечкино""";35/10;12.6
71;"ПС ""Ирдоматка""";35/10;10.3
72;"ПС ""Абаканово""";35/10;5
73;"ПС ""Петринево""";110/35/10;20
74;"ПС ""Коротово""";110/35/10;16.3
75;"ПС ""Суда""";110/35/10;20
76;"ПС ""Ягница""";35/10;3.2
77;"ПС ""Поповка""";35/10;1.6
78;"ПС ""Вешняки""";35/10;5
79;"ПС ""Северная""";35/0,4;0.3
80;"ПС ""Батран""";110/35/10;20
81;"ПС ""Южно-Череповецкая""";35/10;4
82;"ПС ""Щетинское""";35/10;3.2
83;"ПС ""Мякса""";35/10;5
84;"ПС ""Домозерово""";35/10;12.6
85;"ПС ""Аксеново""";35/10;5
86;"ПС ""Устюжна""";110/35/10;20
87;"ПС ""Желябово""";110/10;5
88;"ПС ""Мочала""";35/10;2.5
89;"ПС ""Никола""";35/10;3.2
90;"ПС ""Подольская""";35/10;5
91;"ПС ""Чагода""";110/35/10;32
92;"ПС ""Анисимово""";110/10;8.8
93;"ПС ""Покровское""";110/10;2.5
94;"ПС ""Избоищи""";110/35/10;11.6
95;"ПС ""Сазоново""";35/10;6.3
96;"ПС ""Стеклозавод""";110/10;20
97;"ПС ""Лукинское""";35/10;3.2
98;"ПС ""Шексна""";110/35/6-10;86.3
99;"ПС ""Нифантово""";110/35/10;20
100;"ПС ""ГАЗ""";35/10;8
101;"ПС ""Нестерово""";35/10;5
102;"ПС ""Сизьма""";35/10;4.1
103;"ПС ""Чаромское""";35/10;5
104;"ПС ""Чебсара""";35/10;5
105;"ПС ""Чуровское""";35/10;5
106;"ПС ""Юрочкино""";35/10;1.6
107;"ПС ""Кадуй""";110/35/10;12.6
108;"ПС ""Поселковая""";110/10;20
109;"ПС ""Хохлово""";35/10;6.5
110;"ПС ""Великое""";35/10;1.6
111;"ПС ""Барановская""";35/10;1
112;"ПС ""Никольское""";35/10;3.2
113;"ПС ""Андога""";35/10;1
114;"ПС ""Бабаево""";110/35/10;32
115;"ПС ""Борисово-Суда""";35/10;6.5
116;"ПС ""Заполье""";110/10;2.5
117;"ПС ""Къярда""";35/10;2
118;"ПС ""Пяжелка""";35/10;1.6
119;"ПС ""Тимохино""";35/10;1
120;"ПС ""Тешемля""";35/10;3.2
121;"ПС ""В.С.Погост""";110/10;2.5
122;"ПС ""Власьевская""";110/10;8.8
123;"ПС ""Тарнога""";110/35/10;20
124;"ПС ""Евсеевская""";35/10;1
125;"ПС ""Айга""";35/10;1.6
126;"ПС ""Тотьма-2""";110/10;20
127;"ПС ""Тотьма-1""";110/35/10;20
128;"ПС ""Погорелово""";110/35/10;32
129;"ПС ""Царева""";110/35/10;6.3
130;"ПС ""Никольская""";35/10;3.2
131;"ПС ""Великодворье""";35/10;2
132;"ПС ""Мосеево""";35/10;3.2
133;"ПС ""Д.Починок""";35/10;2
134;"ПС ""Ида""";35/10;1.6
135;"ПС ""Карица""";35/10;1
136;"ПС ""Бабушкино""";110/35/10;12.6
137;"ПС ""Рослятино""";110/10;5
138;"ПС ""Ляменьга""";110/10;2.5
139;"ПС ""Аниково""";35/10;4.1
140;"ПС ""Тиманово""";35/10;4.1
141;"ПС ""Верховажье""";110/35/10;20
