Наименование центра питания;Год ввода/Год реконструкции (при изменении установленной мощности);;Подразделение
ПС 110/6 кВ № 2;2004/2016;126;
ПС 35/6  кВ № 3;1936;16.3;
ПС 110/6  кВ № 6;2003;57;
ПС 35/6 кВ № 8;1952;12;
ПС 110/10/6 кВ № 9 СХИ;1977/2011;80;
ПС 110/10 кВ Студенческая;1968/2015;32;
ПС 110/6 кВ № 14 Западная;1960;63;
ПС 110/35/6 кВ № 16 Юго-Западная;1962;103;
ПС 110/10 кВ № 18 Туббольница;1962;12.6;
ПС 110/10/6 кВ № 20 Северная;1979/2014;80;
ПС 110/35/6 кВ № 21 Восточная;1965;85;
ПС 35/6 кВ № 23;1966/2013;20;
ПС 35/6 кВ № 24;1965;7.2;
ПС 110/6 кВ № 25 Коммунальная;1974;120;
ПС 110/6 кВ № 27 РЭП;1971;127;
ПС 110/10 кВ № 28 Тепличная;1978/2015;50;
ПС 110/35/6 кВ № 29 ДСК;1975;50;
ПС 110/35/10 кВ № 30 Подгорное;1984;143;
ПС 110/35/10 кВ № 32 Никольское;1976;50;
ПС 35/6 кВ № 35;1976;20;
ПС 110/10 кВ № 36 Воронежская;1979/2011;50;
ПС 110/6 кВ № 39 Северо-Восточная;1982/2015;80;
ПС 35/6 кВ № 41;1974;20;
ПС 110/6 кВ № 42 Полюс;1989/2015;65;
ПС 110/6 кВ № 43 ВШЗ;1989/2015;126;
ПС 110/6 кВ № 44 ВШЗ-2;1982/2015;16.3;
ПС 110/6 кВ № 45 Калининская;2006;126;
ПС 35/6 кВ № 46;1988;4;
ПС 110/35/6 кВ № 47 Сомово;1989;50;
ПС 110/6 кВ Центральная;2010;126;
ПС 110/10 кВ Спутник;;80;
ПС 110/35/10 кВ Анна;1997;50;
ПС 110/35/10 кВ Анна-2;1997/2016;16;
ПС 110/35/10 кВ Архангельское;1993;20;
ПС 110/10 кВ Верхняя Тойда;1984;6.3;
ПС 35/10 кВ Васильевка;1986;2.5;Аннинский РЭС
ПС 35/10 кВ Николаевка;1979;4;
ПС 35/10 кВ Новонадежденка;1993;5;
ПС 35 кВ Новый Курлак;1986;4;
ПС 35/10 кВ Рубашевка;1971;5;
ПС 35/10 кВ Садовое;1976;8;
ПС 35/10 кВ Хлебородное;1975;2.5;
ПС 110/35/6 кВ Борисоглебск;1963;50;
ПС 110/35/10 кВ Восточная-1;1993;40;
ПС 110/6 кВ Химмаш;1978;32;
ПС 35/10 кВ Верхний Затон;1965;2.5;
ПС 35/6 кВ Восточная;1974;10;
ПС 35/10 кВ Губари;1976;5;
ПС 35/10 кВ Макашевка;1991;2.5;
ПС 35/10 кВ Миролюбие;1977;4;
ПС 35/10 кВ Танцырей;1991/2014;12.6;
ПС 35/10 кВ Третьяки;1989;8;
ПС 35/10 кВ Чигорак;1977;6.5;
ПС 110/35/10 кВ Верхний Карачан;1992;20;
ПС 110/35/10 кВ Грибановка;1981;32;
ПС 110/35/10 кВ Листопадовка;1989;20;
ПС 35/10 кВ Большие Алабухи;1982;2.5;
ПС 35/10 кВ Малая Грибановка;1975;3.2;
ПС 35/10 кВ Новогольелань;1975;2.5;
ПС 35/10 кВ Нижний Карачан;1993;5;
ПС 110/10 кВ Большевик;1980;6.3;
ПС 110/35/10 кВ Новохоперск;1976;26;
ПС 35/10 кВ Елань-Колено;1989;4;
ПС 35/10 кВ Красное;1987;8;
ПС 35/10 кВ Михайловка;1970;2.5;
ПС 35/10 кВ Михайловка-1;1987;4;
ПС 35/10 кВ Подгорное (БУ);1975;2.5;
ПС 35/10 кВ Пыховка;1986;2.5;
ПС 35/10 кВ Троицкое;1985;5;Новохоперский РЭС
ПС 110/35 кВ Каменка (БУ);1989;20;
ПС 110/10 кВ Рождество;1974;6.3;
ПС 35/10 кВ Вихляевка;1990;2.5;
ПС 35/10 кВ Ильмень;1990;2.5;
ПС 35/10 кВ Октябрьское;1965;2.5;
ПС 35/10 кВ Пески;1986;8;
ПС 110/10 кВ Докучаево;1974;20;
ПС 110/35/10 кВ Таловая-районная;1991;32;
ПС 35/10 кВ Абрамовка;1967;10.3;
ПС 35/10 кВ Авангард;1986;2.5;
ПС 35/10 кВ Александровка (БУ);1987;5;
ПС 35/10 кВ Новотроицкая;1988;8;
ПС 35/10 кВ Орловка;1988;2.5;
ПС 35/10 кВ Тишанка;1988;2.5;
ПС 35/10 кВ Троицкое-1;1988;1.6;
ПС 35/10 кВ Чигла;1988;2.5;
ПС 110/35/10 кВ Народное;1986;26;
ПС 110/35/10 кВ Терновка;1965;20;
ПС 35/10 кВ Есипово;1972;5;
ПС 35/10 кВ Кисельное;1993;5;
ПС 35/10 кВ Козловка (БУ);1978;6.5;
ПС 35/10 кВ Костино Отделец;1978;5;
ПС 110/35/10 кВ Щучье;1982;12.6;
ПС 110/35/10 кВ Эртиль;1967;32;
ПС 35/10 кВ Введенка;1977;5;
ПС 35/10 кВ Гнилуша;1987;4;
ПС 35/10 кВ Майская;1987;2.5;
ПС 35/10 кВ Ростоши;1968;8;
ПС 35/10 кВ Эртиль-город;1975;12.6;
ПС 110/35/10 кВ Верхняя Хава;1982/2010;32;
ПС 110/10 кВ Парижская Коммуна;1990;6.3;
ПС 35/10 кВ Верный;1977;2.5;
ПС 35/10 кВ Нижняя Байгора;1990;5;
ПС 35/10 кВ Углянец;1970;6.5;
ПС 35/10 кВ Семеновка (ВУ);1986;6.5;
ПС 35/10 кВ Шукавка;1980;5;
ПС 35/10 кВ Элеватор;1983;2.5;
ПС 110/35/10 кВ Московское;1980;20;
ПС 35/10 кВ Данково;1973;2.5;
ПС 35/10 кВ Запрудское;1975;5;
ПС 35/10 кВ Кашира;1964;5;
ПС 35/10 кВ Левая Россошь;1959;12.6;
ПС 35/10 кВ МОБ;1987;6.5;
ПС 110 кВ Нижнедевицк;1984/2015;32;
ПС 35/10 кВ Верхнее Турово-1;1974;3.2;
ПС 35/10 кВ Верхнее Турово-2;1973;5;
ПС 35/10 кВ Вязноватовка;1973;2.5;
ПС 35/10 кВ Новый Ольшан;1976;4;
ПС 35/10 кВ Родина;1975;2.5;
ПС 35/10 кВ Синие Липяги;1987;7.2;
ПС 110/35/10 кВ № 31 Воля;1976;50;
ПС 110/35/10 кВ Новоусманская;2012;50;
ПС 110/10 кВ Радуга;2015;50;
ПС 35/10 кВ Масловская;1988/2012;20;
ПС 35/10 кВ Парусное;1982;4;
ПС 35/10 кВ Рогачевка;1977;4;
ПС 35/10 кВ Рождественская Хава;1988;8;
ПС 35/10 кВ Юбилейная;1981;4;
ПС 110/35/10 кВ Панино;1973;32;
ПС 110/35/10 кВ Прогресс;1979;12.5;
ПС 35/10 кВ Катуховка;1983;5;
ПС 35/10 кВ Красный Лиман;1994;6.5;
ПС 35/10 кВ Криуша;1981;5;
