Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Аврора;200;220/10/10
ПС 220 кВ Арсенал;250;220/110/10
ПС 220 кВ Вынгапур;375;220/110/35/10
ПС 220 кВ Губкинский ГПЗ;200;220/10/10
ПС 220 кВ Ермак;330;220/110/10
ПС 220 кВ Исконная;125;220
ПС 220 кВ Мангазея;250;220/110/10
ПС 220 кВ Надым;250;220/110/10
ПС 220 кВ Оленья;250;220/110/6
ПС 220 кВ Пангоды;188;220/110/6
ПС 220 кВ Правохеттинская;64;220/10/10
ПС 220 кВ Пуль-Яха;330;220/110/35/10/6
ПС 220 кВ Уренгой;250;220/110/10
ПС 220 кВ Янга-Яха;250;220/110/35/10
ПС 220/10кв Славянская;50;220/10
ПС 500 кВ Муравленковская;877;500/220/110/35/10
ПС 500 кВ Тарко-Сале;1377;500/220/110/10
ПС 500 кВ Холмогорская;1878;500/220/110/35/10
