№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
1;Биджан;110/10;679385, Еврейская Аобл, Ленинский р-н, Биджан с, Тихий пер, дом № 3а
2;Благословенное;110/35/10;679241, Еврейская Аобл, Октябрьский р-н, Благословенное с, Ленина ул, дом № 1/2
3;Дежнево;110/35/10;679382, Еврейская Аобл, Ленинский р-н, Дежнево с, Мира ул, дом № 51
4;КРС;110/35/10;679520, Еврейская Аобл, Биробиджанский р-н, Бирофельд с, Садовая ул, дом № 22
5;Ленинск;110/35/10;679370, Еврейская Аобл, Ленинский р-н, Ленинск ст, Вокзальная ул, дом № 20а
6;Унгун;110/35/10;679360, Еврейская Аобл, Ленинский р-н, Унгун с, Железнодорожная ул, дом № 4
7;БВС;110/35/10/6;679000, Еврейская Аобл, Биробиджан г, Юбилейная ул, дом № 1п
8;СК;110/35/6;679000, Еврейская Аобл, Биробиджан г, Индустриальная ул, дом № 1п
9;АРЗ;110/6;679000, Еврейская Аобл, Биробиджан г, Индустриальная ул, дом № 4
10;Амурзет;35/10;679230, Еврейская Аобл, Октябрьский р-н, Амурзет с, Гагарина ул, дом № 2б
11;Бабстово;35/10;679363, Еврейская Аобл, Ленинский р-н, Бабстово с, Горная ул, дом № 1а
12;Башурово;35/10;679145, Еврейская Аобл, Облученский р-н, Башурово с, Центральная ул, дом № 1а
13;Бира;35/10;679130, Еврейская Аобл, Облученский р-н, Бира п, 40 лет Победы ул, дом № 7
14;Биракан;35/10;679135, Еврейская Аобл, Облученский р-н, Биракан п, Высокий пер, дом № 41
15;Будукан;35/10;679120, Еврейская Аобл, Облученский р-н, Будукан с, Нагорная ул, дом № 1а
16;Валдгейм;35/10;679511, Еврейская Аобл, Биробиджанский р-н, Валдгейм с, Полевая ул, дом № 2а
17;Венцелево;35/10;679388, Еврейская Аобл, Ленинский р-н, Венцелево с, Горная ул, дом № 41
18;Воскресеновка;35/10;679377, Еврейская Аобл, Ленинский р-н, Воскресеновка с, Новая ул, дом № 6
19;Горки;35/10;679131, Еврейская Аобл, Облученский р-н, Семисточный с
20;Доброе;35/10;679248, Еврейская Аобл, Октябрьский р-н, Доброе с, Совхозная, дом № 29
21;Дубовое;35/10;679515, Еврейская Аобл, Биробиджанский р-н, Дубовое с, 40 лет Победы ул, дом № 1а
22;Камышовка;35/10;679175, Еврейская Аобл, Смидовичский р-н, Камышовка с, 70 лет Октября ул, дом № 29
23;Ключевое;35/10;679158, Еврейская Аобл, Смидовичский р-н, Ключевое с, Советская ул, дом № 30а
24;Надеждинск;35/10;679517, Еврейская Аобл, Биробиджанский р-н, Надеждинское с, Центральная ул, дом № 1а
25;Найфельд;35/10;679519, Еврейская Аобл, Биробиджанский р-н, Найфельд с, Нагорная ул, дом № 1
26;Опытная;35/10;679502, Еврейская Аобл, Биробиджанский р-н, Опытное поле с, Центральная ул, дом № 9
27;Пашково;35/10;679144, Еврейская Аобл, Облученский р-н, Пашково с, Пашковское шоссе 2 км
28;Пронькино;35/10;679512, Еврейская Аобл, Биробиджанский р-н, Пронькино с, Центральная ул, дом № 6а
29;ПТФ;35/10;679171, Еврейская Аобл, Смидовичский р-н, Партизанское с, Гаражная ул, дом № 7
30;Самара;35/10;679244, Еврейская Аобл, Октябрьский р-н, Самара с, Почтовая ул, дом № 25
31;Столбовое;35/10;679222, Еврейская Аобл, Октябрьский р-н, Столбовое с, Совхозная ул, дом № 9
32;ГЗУ;35/6;679000, Еврейская Аобл, Биробиджан г, Черноморская ул, дом № 51
33;Двуречье;35/6;679127, Еврейская Аобл, Облученский р-н, Двуречье с, 40 лет Победы, дом № 12
34;ДСК;35/6;679170, Еврейская Аобл, Смидовичский р-н, Николаевка п, Шевчука ул, дом № 29
35;ЖБИ;35/6;679000, Еврейская Аобл, Биробиджан г, Физкультурная ул, дом № 24п
36;Известковая;35/6;679125, Еврейская Аобл, Облученский р-н, Известковый п, Железнодорожная ул, дом № 18
37;Лесоучасток;35/6;679116, Еврейская Аобл, Облученский р-н, Лондоко-Завод п, Новая, дом № 3
38;МК;35/6;679000, Еврейская Аобл, Биробиджан г, Стяжкина ул, дом № 74п
39;ТЭЦ;35/6;679000, Еврейская Аобл, Биробиджан г, Шолом-Алейхема ул, дом № 60п
40;Хинганск;35/6;679141, Еврейская Аобл, Облученский р-н, Хинганск п
41;Центр;35/6;679000, Еврейская Аобл, Биробиджан г, Красноармейская ул
42;ЦЭС-Облучье;35/6;679100, Еврейская Аобл, Облученский р-н, Облучье г, Тварковского ул, дом № 126
43;ЧТФ;35/6;679000, Еврейская Аобл, Биробиджан г, Пионерская ул, дом № 62п
