Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Матвеево;1995;1.6;57.5878555555556;39.5869388888889
ПС 35/10 Михайловское;1983;6.3;57.6673555555556;39.9275916666667
ПС 35/10 Ширинье;1969;4;57.5487138888889;39.3395027777778
ПС 110/10 Покров;1982;2.5;58.2438472222222;40.295125
ПС 35/10 Обнора;1985;1.6;58.2729222222222;40.9076944444444
ПС 110/35/10 Аббакумцево;1984;20;57.7090055555556;40.1496055555556
ПС 35/10 Ананьино;1978;5;57.4859166666667;39.9632611111111
ПС 110/10/10  Брагино;1973;80;57.6810527777778;39.7590861111111
ПС 35/10 Бурмакино-1;1975;8;57.4206805555556;40.2455638888889
ПС 35/10 Ватолино;1974;8;57.7800472222222;39.8038527777778
ПС 35/6 Ведерники;1983;12.6;57.5945972222222;39.8054916666667
ПС 35/10 Великовская;1992;8;58.6467027777778;39.7368111111111
ПС 35/10 Великое Село;1993;3.2;58.0919361111111;39.6186222222222
ПС 35/10 Возрождение;1992;8;57.7903611111111;39.9407361111111
ПС 35/10 Волна;1973;6.5;57.8366611111111;39.5646861111111
ПС 35/10 Вятское;1975;5;57.8621694444444;40.2774444444444
ПС 35/10 Горинская;1988;5;58.1815444444444;39.7860166666667
ПС 35/10 Григорьевское;1974;8;57.7657611111111;39.6751277777778
ПС 35/10 Гузицино;1975;8;57.7535083333333;40.4358416666667
ПС 35/10 ГПС Ярославль;2007;12.6;57.5752694444444;39.7487805555556
ПС 110/6 Депо;2004;32;57.6779388888889;39.8141944444444
ПС 110/10 Депо;2004;16;57.6779388888889;39.8141944444444
ПС 35/10 Дорожаево;1974;5;57.6775916666667;39.5891805555556
ПС 110/10 Дружба;1982;32;58.1946694444444;40.1423166666667
ПС 35/10 Дубки;1977;12.6;57.5306277777778;39.7252916666667
ПС 35/10 Дыбино;1968;5;58.1120277777778;40.6183555555556
ПС 35/6 Заволжская;1950;20;57.6421722222222;39.9255861111111
ПС 110/6/6 Институтская;1988;80;57.5851694444444;39.8628555555556
ПС 35/10 Коза;1987;3.2;58.4559805555556;39.94785
ПС 110/35/6 Константиново;1944;31;57.8111805555556;39.6088694444444
ПС 35/10 Курба;1971;5;57.5521055555555;39.520175
ПС 35/10 Лесные Поляны;1972;20;57.6877722222222;39.8968055555556
ПС 35/10 Моделово-2;1969;16.3;57.6460722222222;40.1301138888889
ПС 35/10 Некрасово;2010;32;57.6624138888889;40.3783444444444
ПС 35/10 Никольское;1977;5;57.5177611111111;40.3730861111111
ПС 110/35/6 НПЗ;1959;50;57.5657944444444;39.7992
ПС 110/6/6 Орион;1990;80;57.6507833333333;39.8160333333333
ПС 110/35/6 Павловская;1957;45;57.6920277777778;39.81445
ПС 110/10 Перевал;2003;32;57.7130444444444;39.781875
ПС 110/6/6 Перекоп;1972;50;57.6173972222222;39.8225805555556
ПС 110/6/6 Полиграф;1957;80;57.6176888888889;39.8553222222222
ПС 110/35/10 Пречистое;1984;20;58.4208083333333;40.3071333333333
ПС 35/10 Профилакторий;1974;5;57.6029138888889;40.41705
ПС 35/10 Рождествено;1981;5;57.7311194444444;37.9431611111111
ПС 110/6/6 Северная;1929;126;57.6420833333333;39.8665333333333
ПС 35/10 Середа;1969;5;57.9971638888889;40.4455444444444
ПС 110/6 Тормозная;1961;41;57.5465777777778;39.9389111111111
ПС 110/10 ТРК;2007;32;57.5641277777778;39.8438611111111
ПС 35/10 Троица;1991;5;58.4951583333333;40.6987861111111
ПС 35/10 Туношна;1964;5;57.5920722222222;40.2647138888889
ПС 35/10 Тутаев-35;1979;20;57.8909916666667;39.5540666666667
ПС 110/10 Туфаново;1979;5;57.9864361111111;40.034175
ПС 35/10 Урожай;1987;8;57.5402333333333;40.1342333333333
ПС 110/35/10 Халдеево;1968;9.5;58.3215972222222;40.9997222222222
ПС 110/10/10 Чайка;1989;65;57.5638333333333;39.9092805555556
ПС 35/6 Чебаково;1997;5;57.7607527777778;39.5346527777778
ПС 35/10 Щедрино;1982;8;57.5477333333333;39.8076611111111
ПС 110/6/6 Южная;1991;80;57.5914861111111;39.884325
ПС 110/10/6 Ярцево;2003;50;57.5363166666667;39.9840833333333
ПС 110/6/6 Которосль;2010;50;57.6158138888889;39.8559361111111
ПС 35/6 Келноть;1956;4;57.7690083333333;40.5652277777778
ПС 35/10 Керамик;1980;20;57.7280833333333;39.7506305555556
ПС 110/10/10 Новоселки;2013;65;57.5511111111111;39.8986583333333
ПС 35/10 Машприбор;1973;12.6;57.6148694444444;39.9658694444445
ПС 110/10 ПГУ-ТЭС;2013;80;57.504481;39.321758
ПС 110/10 Алтыново;1978;12.6;57.5698416666667;38.2828888888889
ПС 110/35/10 Борисоглеб;1978;26;57.2664166666667;39.164275
ПС 110/35/10 Васильково;1985;12.6;57.2017861111111;39.6494916666667
ПС 110/10 Вахрушево;1980;12.6;57.3020333333333;39.5950027777778
ПС 110/6 Гаврилов Ям;1971;32;57.3059111111111;39.8412527777778
ПС 110/6 Кинопленка;1970;26;56.7487444444444;38.8942583333333
ПС 110/35/10 Климатино;1978;12.6;57.5208861111111;37.9710083333333
ПС 110/35/10 Нила;1986;32;56.7798111111111;38.9616583333333
ПС 110/35/6 Переславль;1960;50;56.7381333333333;38.8801388888889
ПС 110/10 Плоски;1985;5;57.4516638888889;37.9156083333333
ПС 110/35/10 Ростов;1960;50;57.2052722222222;39.4551611111111
ПС 110/35/10 Техникум;1977;20;57.3444666666667;39.7868638888889
ПС 110/35/10 Углич;1997;50;57.5189;38.3458055555556
ПС 110/10 Устье;1968;20;57.289025;39.5374277777778
ПС 110/10 Шурскол;1980;20;57.1502583333333;39.3070694444444
ПС 110/10 Юр.Слобода;1989;20;57.1982611111111;39.3686055555556
ПС 35/10 Алешкино;1982;5;57.3071611111111;38.9541527777778
ПС 35/6 Батьки;1967;3.2;56.7105472222222;38.3603611111111
ПС 35/10 Береговая;1989;1.6;57.0982194444444;39.4761305555556
ПС 35/10 Берендеево;2001;5;56.60465;39.0440638888889
ПС 35/10 Воржа;1962;3.4;57.1348833333333;39.5177777777778
ПС 35/10 Вощажниково;1989;4.1;57.3729638888889;39.1438444444444
ПС 35/10 Глебово;1971;10.3;56.6601229;38.710126
ПС 35/10 Горки;1982;5;56.658225;39.2704083333333
ПС 35/10 Дмитрианово;1978;3.2;57.1029944444444;39.1563666666667
ПС 35/10 Заозерье;1973;5;57.2051361111111;38.258125
ПС 35/10 Ильинское;1972;5;57.3212916666667;38.4933722222222
ПС 35/10 Кибернетик;1992;12.6;56.7201055555556;38.7919583333333
ПС 35/10 Клементьево;1976;1.6;57.4973583333333;38.7726333333333
ПС 35/10 Красное;1982;8;56.6994944444444;38.8883666666667
ПС 35/10 Кулаково;1981;5;56.9004277777778;39.1768583333333
ПС 35/6 Купань;1963;9;56.8286694444445;38.650075
ПС 35/10 Марково;1984;5;57.3094444444444;39.3484
ПС 35/10 Нагорье;1962;8;56.9191916666667;38.2808916666667
ПС 35/10 Поречье;1978;8;57.084275;39.3868833333333
ПС 35/10 Пружинино;1974;5;57.3003027777778;40.1785916666667
ПС 35/10 Раменье;1978;5;57.5224694444444;39.1778916666667
ПС 35/10 Рязанцево;1986;5;56.7092777777778;39.1460805555556
ПС 35/10 Сараево;1977;4.1;57.0153888888889;38.3558694444444
ПС 35/10 Селифонтово;1978;5;57.4435527777778;39.7734444444444
ПС 35/10 Семибратово;2005;8;57.3057805555556;39.52845
