№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
363;ПС 110 кВ Мангут;6.3;110/10
385;ПС 220 кВ Дарасун;146;220/110/35/10
388;ПС 220 кВ Жирекен;126;220/110/10
400;ПС 220 кВ Куанда;50;220/35/10
403;ПС 220 кВ Лесная;126;220/110/10
407;ПС 220 кВ Могоча;266;220/110/10/6
415;ПС 220 кВ П.Забайкальская;127.8;220/110/35
436;ПС 220 кВ Холбон;256.3;220/110/10
440;ПС 220 кВ Чара;176;220/110/35/10
443;ПС 220 кВ Шерловогорская;126;220/110/10
461;ПС 35 кВ Соловьевск;2.5;35/10
478;ПС 500 кВ Чита-500;3.06;500
